timestamp,Fp1,Fp2,F3,Fz,F4,Cz,Pz,Oz
1312976.667286098,-107547.125,-78967.61,-44642.254,-28346.6,-4748.2505,-32905.477,-52948.69,1217.1631
1312976.6712860924,-107545.21,-78963.26,-44644.125,-28343.67,-4745.158,-32909.586,-52948.367,1219.279
1312976.675286087,-107542.52,-78962.24,-44640.504,-28343.506,-4746.135,-32904.746,-52946.453,1219.93
1312976.6792860813,-107542.04,-78964.805,-44638.43,-28346.232,-4747.8438,-32894.86,-52947.023,1217.0004
1312976.683286076,-107545.945,-78968.18,-44640.465,-28347.656,-4751.2207,-32893.027,-52948.855,1211.4666
1312976.6872860705,-107544.516,-78968.18,-44641.93,-28347.453,-4751.872,-32901.246,-52953.94,1201.0906
1312976.691286065,-107540.57,-78965.82,-44641.562,-28346.232,-4750.692,-32907.918,-52953.9,1200.6836
1312976.6952860595,-107533.98,-78964.32,-44639.61,-28345.053,-4751.5464,-32905.234,-52952.35,1206.0955
1312976.699286054,-107541.836,-78967.77,-44638.51,-28346.72,-4754.354,-32895.47,-52955.895,1200.5615
1312976.7032860485,-107546.555,-78972.05,-44638.062,-28347.738,-4755.697,-32893.96,-52957.848,1192.3422
1312976.7072860429,-107542.766,-78968.43,-44638.023,-28346.72,-4752.5635,-32902.793,-52957.93,1192.9932
1312976.7112860375,-107544.92,-78966.76,-44641.562,-28345.42,-4747.274,-32909.02,-52958.254,1192.2201
1312976.7152860318,-107547.41,-78966.516,-44640.016,-28346.152,-4745.8906,-32904.99,-52959.11,1192.3422
1312976.7192860264,-107548.38,-78967.82,-44637.207,-28348.959,-4750.7324,-32895.184,-52956.465,1197.6318
1312976.7232860208,-107547.49,-78972.17,-44637.004,-28352.783,-4754.5166,-32892.09,-52953.74,1201.2126
1312976.7272860154,-107550.01,-78971.516,-44640.016,-28352.012,-4751.6685,-32898.355,-52951.54,1203.532
1312976.7312860098,-107545.66,-78962.445,-44638.67,-28349.488,-4743.408,-32902.875,-52952.35,1202.6775
1312976.7352860044,-107541.14,-78958.414,-44635.664,-28347.982,-4741.781,-32897.543,-52951.01,1206.8685
1312976.739285999,-107544.44,-78965.5,-44632.652,-28348.959,-4746.257,-32886.19,-52946.047,1214.4369
