timestamp,marker
968749.7476168239,Paradigm_Start_Dual-Task Paradigm_Subject_14
968750.8767029601,DualTask_VisualTarget_RedCircle_Subject_14
968751.774493689,DualTask_AudioNonTarget_Sound_Subject_14
968751.9900685959,DualTask_VisualNonTarget_BlueCircle_Subject_14
968753.0959555313,DualTask_VisualTarget_RedCircle_Subject_14
968753.7786044533,DualTask_AudioNonTarget_Sound_Subject_14
968754.1970496667,DualTask_VisualNonTarget_BlueCircle_Subject_14
968755.3089994024,DualTask_VisualNonTarget_BlueCircle_Subject_14
968755.7895242178,DualTask_AudioNonTarget_Sound_Subject_14
968756.420604738,DualTask_VisualNonTarget_BlueCircle_Subject_14
968757.5216251735,DualTask_VisualNonTarget_BlueCircle_Subject_14
968757.8046896826,DualTask_AudioNonTarget_Sound_Subject_14
968758.6343216092,DualTask_VisualNonTarget_BlueCircle_Subject_14
968759.7403154447,DualTask_VisualNonTarget_BlueCircle_Subject_14
968759.8064085467,DualTask_AudioNonTarget_Sound_Subject_14
968760.8495337804,DualTask_VisualNonTarget_BlueCircle_Subject_14
968761.8156163114,DualTask_AudioNonTarget_Sound_Subject_14
968761.9654856162,DualTask_VisualNonTarget_BlueCircle_Subject_14
968763.0683563516,DualTask_VisualNonTarget_BlueCircle_Subject_14
968763.828822876,DualTask_AudioTarget_Sound_Subject_14
968764.1779675873,DualTask_VisualNonTarget_BlueCircle_Subject_14
968765.2836414227,DualTask_VisualNonTarget_BlueCircle_Subject_14
968765.8454895407,DualTask_AudioNonTarget_Sound_Subject_14
968766.3920127583,DualTask_VisualNonTarget_BlueCircle_Subject_14
968767.5047155941,DualTask_VisualNonTarget_BlueCircle_Subject_14
968767.8560172054,DualTask_AudioNonTarget_Sound_Subject_14
968768.6057253295,DualTask_VisualTarget_RedCircle_Subject_14
968769.7073149647,DualTask_VisualNonTarget_BlueCircle_Subject_14
968769.8577023696,DualTask_AudioTarget_Sound_Subject_14
968770.8192874005,DualTask_VisualNonTarget_BlueCircle_Subject_14
968771.8647484342,DualTask_AudioNonTarget_Sound_Subject_14
968771.9313124362,DualTask_VisualNonTarget_BlueCircle_Subject_14
968773.0364051717,DualTask_VisualNonTarget_BlueCircle_Subject_14
968773.8672916983,DualTask_AudioNonTarget_Sound_Subject_14
968774.1452410073,DualTask_VisualNonTarget_BlueCircle_Subject_14
968775.2509309428,DualTask_VisualNonTarget_BlueCircle_Subject_14
968775.8816940631,DualTask_AudioNonTarget_Sound_Subject_14
968776.3625621785,DualTask_VisualTarget_RedCircle_Subject_14
968777.4794967143,DualTask_VisualNonTarget_BlueCircle_Subject_14
968777.8964926277,DualTask_AudioNonTarget_Sound_Subject_14
968778.5804296497,DualTask_VisualNonTarget_BlueCircle_Subject_14
968779.6823750851,DualTask_VisualNonTarget_BlueCircle_Subject_14
968779.896574092,DualTask_AudioNonTarget_Sound_Subject_14
968780.7954369208,DualTask_VisualNonTarget_BlueCircle_Subject_14
968781.9109089567,DualTask_VisualNonTarget_BlueCircle_Subject_14
968781.9111092567,DualTask_AudioNonTarget_Sound_Subject_14
968783.0248004925,DualTask_VisualTarget_RedCircle_Subject_14
968783.9187724212,DualTask_AudioNonTarget_Sound_Subject_14
968784.1360608282,DualTask_VisualNonTarget_BlueCircle_Subject_14
968785.2518479639,DualTask_VisualNonTarget_BlueCircle_Subject_14
968785.9198817854,DualTask_AudioTarget_Sound_Subject_14
968786.3574354994,DualTask_VisualTarget_RedCircle_Subject_14
968787.4711179353,DualTask_VisualNonTarget_BlueCircle_Subject_14
968787.9259537498,DualTask_AudioTarget_Sound_Subject_14
968788.5841715711,DualTask_VisualNonTarget_BlueCircle_Subject_14
968789.6957047066,DualTask_VisualNonTarget_BlueCircle_Subject_14
968789.9288555143,DualTask_AudioNonTarget_Sound_Subject_14
968790.795986142,DualTask_VisualTarget_RedCircle_Subject_14
968791.8969709773,DualTask_VisualNonTarget_BlueCircle_Subject_14
968791.9314263784,DualTask_AudioNonTarget_Sound_Subject_14
968793.0109647132,DualTask_VisualNonTarget_BlueCircle_Subject_14
968793.940368043,DualTask_AudioNonTarget_Sound_Subject_14
968794.1249602489,DualTask_VisualNonTarget_BlueCircle_Subject_14
