timestamp,Fp1,Fp2,F3,Fz,F4,Cz,Pz,Oz
1314681.2112403158,-82251.43,-111376.34,-43202.312,-58604.7,-131915.58,-41907.43,-42976.117,-47492.516
1314681.2152403118,-82225.016,-111351.08,-43177.9,-58582.48,-131896.98,-41884.117,-42952.637,-47463.664
1314681.2192403076,-82229.66,-111353.234,-43180.258,-58583.66,-131902.22,-41883.668,-42953.25,-47461.59
1314681.2232403036,-82260.336,-111384.85,-43204.957,-58608.074,-131922.53,-41904.99,-42977.418,-47491.824
1314681.2272402993,-82269.734,-111397.38,-43215.496,-58620.77,-131933.06,-41916.344,-42988.324,-47505.25
1314681.2312402953,-82240.195,-111371.75,-43193.727,-58603.926,-131908.0,-41900.23,-42965.293,-47481.49
1314681.235240291,-82213.83,-111345.75,-43169.027,-58581.383,-131882.69,-41875.082,-42936.934,-47450.97
1314681.2392402869,-82224.77,-111354.414,-43175.215,-58584.395,-131889.89,-41876.06,-42942.223,-47474.69
1314681.2432402829,-82256.19,-111383.63,-43201.5,-58607.42,-131912.56,-41898.844,-42969.89,-47500.285
1314681.2472402786,-82272.586,-111399.3,-43216.15,-58621.95,-131928.44,-41912.68,-42984.05,-47495.363
1314681.2512402746,-82252.73,-111379.52,-43197.797,-58606.203,-131918.98,-41899.58,-42968.184,-47478.76
1314681.2552402704,-82224.94,-111350.18,-43171.145,-58580.934,-131896.45,-41880.37,-42948.527,-47465.863
1314681.2592402664,-82228.234,-111350.1,-43176.555,-58583.008,-131896.94,-41882.04,-42950.887,-47458.945
1314681.2632402622,-82257.57,-111375.98,-43203.613,-58607.22,-131920.7,-41902.59,-42976.36,-47485.516
1314681.2672402582,-82274.336,-111393.516,-43215.984,-58622.6,-131937.38,-41915.773,-42990.766,-47501.668
1314681.271240254,-82256.23,-111379.234,-43198.406,-58607.992,-131921.47,-41900.92,-42972.414,-47479.004
1314681.2752402497,-82226.195,-111350.51,-43173.055,-58582.6,-131896.73,-41877.566,-42949.383,-47443.89
1314681.2792402457,-82224.2,-111343.71,-43175.05,-58582.848,-131892.55,-41880.86,-42956.055,-47441.652
1314681.2832402415,-82249.59,-111363.61,-43199.953,-58606.406,-131914.14,-41903.32,-42986.695,-47472.414
1314681.2872402375,-82265.875,-111377.2,-43213.543,-58619.996,-131925.98,-41915.934,-43004.11,-47483.48
1314681.2912402332,-82248.62,-111360.03,-43194.664,-58604.74,-131911.67,-41904.543,-42992.637,-47474.49
1314681.2952402292,-82223.02,-111336.02,-43170.332,-58580.49,-131890.55,-41885.01,-42972.902,-47451.375
1314681.299240225,-82221.16,-111332.56,-43172.69,-58580.49,-131888.8,-41886.516,-42981.406,-47461.1
1314681.303240221,-82252.0,-111364.42,-43201.336,-58605.797,-131914.6,-41907.43,-43008.18,-47491.133
