timestamp,marker
881059.4868450586,Paradigm_Start_Oddball Paradigm_Subject_21
881059.5023823584,Oddball_NonTarget_Subject_21
881060.6105474442,Oddball_NonTarget_Subject_21
881061.71852183,Oddball_NonTarget_Subject_21
881062.8195867159,Oddball_Target_Subject_21
881063.0868250126,Correct_Response_Subject_21
881063.9195364019,Oddball_NonTarget_Subject_21
881065.0202242878,Oddball_NonTarget_Subject_21
881066.1343185734,Oddball_Target_Subject_21
881066.4534509693,Correct_Response_Subject_21
881067.2516167591,Oddball_Target_Subject_21
881067.8714401512,Correct_Response_Subject_21
881068.352353145,Oddball_NonTarget_Subject_21
881069.4614996308,Oddball_NonTarget_Subject_21
881070.5645450166,Oddball_NonTarget_Subject_21
881071.6751542024,Oddball_NonTarget_Subject_21
881072.788409788,Oddball_Target_Subject_21
881073.1545507835,Correct_Response_Subject_21
881073.9023353739,Oddball_NonTarget_Subject_21
881075.0045074597,Oddball_NonTarget_Subject_21
881076.1187270455,Oddball_NonTarget_Subject_21
881077.2349297311,Oddball_Target_Subject_21
881077.6193361263,Correct_Response_Subject_21
881078.3358463171,Oddball_NonTarget_Subject_21
881079.4383253029,Oddball_Target_Subject_21
881079.9203046967,Correct_Response_Subject_21
881080.5511578887,Oddball_NonTarget_Subject_21
881081.6678074744,Oddball_NonTarget_Subject_21
881082.77969486,Oddball_NonTarget_Subject_21
881083.8847602459,Oddball_NonTarget_Subject_21
881084.9858190317,Oddball_NonTarget_Subject_21
881086.1017792176,Oddball_NonTarget_Subject_21
881087.2026938034,Oddball_NonTarget_Subject_21
881088.3044750893,Oddball_NonTarget_Subject_21
881089.4202181749,Oddball_NonTarget_Subject_21
881090.5235555609,Oddball_NonTarget_Subject_21
881091.6368246465,Oddball_NonTarget_Subject_21
881092.7501941323,Oddball_NonTarget_Subject_21
881093.8520363182,Oddball_Target_Subject_21
881094.2350957133,Correct_Response_Subject_21
881094.9679771038,Oddball_Target_Subject_21
881095.9352150914,Correct_Response_Subject_21
881096.0692700897,Oddball_NonTarget_Subject_21
881097.1775907755,Oddball_NonTarget_Subject_21
881098.2926803612,Oddball_Target_Subject_21
881098.6915225561,Correct_Response_Subject_21
881099.404911247,Oddball_NonTarget_Subject_21
881100.5184215327,Oddball_Target_Subject_21
881100.9182843276,Correct_Response_Subject_21
881101.6206667186,Oddball_NonTarget_Subject_21
881102.7352639043,Oddball_NonTarget_Subject_21
881103.8366918901,Oddball_NonTarget_Subject_21
881104.9516190758,Oddball_Target_Subject_21
881105.4528694694,Correct_Response_Subject_21
881106.0660740617,Oddball_NonTarget_Subject_21
881107.1752100474,Oddball_NonTarget_Subject_21
881108.2822190332,Oddball_NonTarget_Subject_21
881109.384886319,Oddball_NonTarget_Subject_21
881110.485017005,Oddball_NonTarget_Subject_21
881111.5972722907,Oddball_Target_Subject_21
881111.9529475861,Correct_Response_Subject_21
881112.7003175765,Oddball_NonTarget_Subject_21
881113.8093176624,Oddball_NonTarget_Subject_21
