timestamp,marker
1215150.74073446,Paradigm_Start_Task-Switching Paradigm_Subject_22
1215150.7576645603,TaskSwitch_Target_Even/Odd_Subject_22
1215151.8628264738,Missed_Target_Subject_22
1215151.880735874,Missed_Target_Subject_22
1215151.8980050741,Missed_Target_Subject_22
1215151.9145432743,Missed_Target_Subject_22
1215151.9318349746,Missed_Target_Subject_22
1215151.9489861748,Missed_Target_Subject_22
1215151.965015475,Missed_Target_Subject_22
1215151.9819067752,Missed_Target_Subject_22
1215152.0009697755,Missed_Target_Subject_22
1215152.0175446756,Missed_Target_Subject_22
1215152.0341770758,Missed_Target_Subject_22
1215152.0517327762,Missed_Target_Subject_22
1215152.069657976,Missed_Target_Subject_22
1215152.0867676763,Missed_Target_Subject_22
1215152.1025139766,Missed_Target_Subject_22
1215152.1217741768,Missed_Target_Subject_22
1215152.136146377,Missed_Target_Subject_22
1215152.1531305774,Missed_Target_Subject_22
1215152.1708697774,Missed_Target_Subject_22
1215152.1874782778,Missed_Target_Subject_22
1215152.2032512778,Missed_Target_Subject_22
1215152.220271578,Missed_Target_Subject_22
1215152.2375381782,Missed_Target_Subject_22
1215152.2546770785,Missed_Target_Subject_22
1215152.2724190787,Missed_Target_Subject_22
1215152.289108479,Missed_Target_Subject_22
1215152.3060429792,Missed_Target_Subject_22
1215152.3234446794,Missed_Target_Subject_22
1215152.3413376797,Missed_Target_Subject_22
1215152.3585363799,Missed_Target_Subject_22
1215152.3744531798,Missed_Target_Subject_22
1215152.3915059802,Missed_Target_Subject_22
1215152.4080335803,Missed_Target_Subject_22
1215152.4238868805,Missed_Target_Subject_22
1215152.457209981,TaskSwitch_NonTarget_High/Low_Subject_22
1215154.1608103018,TaskSwitch_NonTarget_Even/Odd_Subject_22
1215155.8668492225,TaskSwitch_NonTarget_Even/Odd_Subject_22
1215157.572590843,TaskSwitch_Target_High/Low_Subject_22
1215158.6865849567,Missed_Target_Subject_22
1215158.703419857,Missed_Target_Subject_22
1215158.720095657,Missed_Target_Subject_22
1215158.7377926575,Missed_Target_Subject_22
1215158.7539991573,Missed_Target_Subject_22
1215158.7720139576,Missed_Target_Subject_22
1215158.7880830579,Missed_Target_Subject_22
1215158.8054763582,Missed_Target_Subject_22
1215158.8227113583,Missed_Target_Subject_22
1215158.8387823584,Missed_Target_Subject_22
1215158.8542401588,Missed_Target_Subject_22
1215158.871782359,Missed_Target_Subject_22
1215158.888704859,Missed_Target_Subject_22
1215158.9050755592,Missed_Target_Subject_22
1215158.9226212595,Missed_Target_Subject_22
1215158.9387759597,Missed_Target_Subject_22
1215158.95526456,Missed_Target_Subject_22
1215158.9711494602,Missed_Target_Subject_22
1215158.9885361604,Missed_Target_Subject_22
1215159.0040045604,Missed_Target_Subject_22
1215159.0198398607,Missed_Target_Subject_22
1215159.036321061,Missed_Target_Subject_22
1215159.0519633612,Missed_Target_Subject_22
1215159.0689248613,Missed_Target_Subject_22
1215159.0848477616,Missed_Target_Subject_22
1215159.1007495618,Missed_Target_Subject_22
1215159.116037462,Missed_Target_Subject_22
1215159.132757162,Missed_Target_Subject_22
1215159.1496908623,Missed_Target_Subject_22
1215159.1672878626,Missed_Target_Subject_22
1215159.1842292626,Missed_Target_Subject_22
1215159.201682763,Missed_Target_Subject_22
1215159.2179622632,Missed_Target_Subject_22
1215159.2336638633,Missed_Target_Subject_22
1215159.2491162634,Missed_Target_Subject_22
1215159.2820635638,TaskSwitch_Target_High/Low_Subject_22
1215160.3871759775,Missed_Target_Subject_22
1215160.4047340776,Missed_Target_Subject_22
1215160.4213506777,Missed_Target_Subject_22
1215160.4382567778,Missed_Target_Subject_22
1215160.455097278,Missed_Target_Subject_22
1215160.4722195785,Missed_Target_Subject_22
1215160.4890470786,Missed_Target_Subject_22
1215160.5059411789,Missed_Target_Subject_22
1215160.523417779,Missed_Target_Subject_22
1215160.5402409793,Missed_Target_Subject_22
1215160.5564323794,Missed_Target_Subject_22
1215160.5730542794,Missed_Target_Subject_22
1215160.5894198797,Missed_Target_Subject_22
1215160.60618478,Missed_Target_Subject_22
1215160.6237611803,Missed_Target_Subject_22
1215160.6408197805,Missed_Target_Subject_22
1215160.6574750806,Missed_Target_Subject_22
1215160.674151481,Missed_Target_Subject_22
1215160.691708381,Missed_Target_Subject_22
1215160.7080241812,Missed_Target_Subject_22
1215160.7250661813,Missed_Target_Subject_22
1215160.7423957817,Missed_Target_Subject_22
1215160.7604621819,Missed_Target_Subject_22
1215160.7769064822,Missed_Target_Subject_22
1215160.7941418823,Missed_Target_Subject_22
1215160.8106262826,Missed_Target_Subject_22
1215160.8273000827,Missed_Target_Subject_22
1215160.845001683,Missed_Target_Subject_22
1215160.861440683,Missed_Target_Subject_22
1215160.8786952833,Missed_Target_Subject_22
1215160.8949468834,Missed_Target_Subject_22
1215160.9115639837,Missed_Target_Subject_22
1215160.927794684,Missed_Target_Subject_22
1215160.9439775841,Missed_Target_Subject_22
1215160.9607037844,Missed_Target_Subject_22
1215160.9938579847,TaskSwitch_NonTarget_High/Low_Subject_22
1215162.7059283056,TaskSwitch_NonTarget_Even/Odd_Subject_22
1215163.1367514108,False_Alarm_Subject_22
1215164.4199197262,TaskSwitch_NonTarget_Even/Odd_Subject_22
1215166.129787647,TaskSwitch_Target_High/Low_Subject_22
1215166.9020758567,Correct_Response_Subject_22
1215167.842328968,TaskSwitch_NonTarget_Even/Odd_Subject_22
1215169.5483459886,TaskSwitch_NonTarget_High/Low_Subject_22
1215171.2549722095,TaskSwitch_NonTarget_Even/Odd_Subject_22
1215172.9718016305,TaskSwitch_NonTarget_Even/Odd_Subject_22
1215174.678539151,TaskSwitch_NonTarget_High/Low_Subject_22
1215176.3894939718,TaskSwitch_Target_Even/Odd_Subject_22
1215177.1252558809,Correct_Response_Subject_22
1215178.1069110928,TaskSwitch_NonTarget_High/Low_Subject_22
1215179.8083048135,TaskSwitch_NonTarget_High/Low_Subject_22
1215181.5235306341,TaskSwitch_Target_High/Low_Subject_22
1215182.2373738429,Correct_Response_Subject_22
1215183.2314145549,TaskSwitch_Target_High/Low_Subject_22
1215184.0051618645,Correct_Response_Subject_22
1215184.942436276,TaskSwitch_NonTarget_Even/Odd_Subject_22
1215185.5890204837,False_Alarm_Subject_22
1215186.6544919966,TaskSwitch_Target_High/Low_Subject_22
1215187.3010677046,Correct_Response_Subject_22
1215188.3674095173,TaskSwitch_NonTarget_High/Low_Subject_22
1215189.1243476267,False_Alarm_Subject_22
1215190.0761460382,TaskSwitch_NonTarget_Even/Odd_Subject_22
1215191.782890759,TaskSwitch_NonTarget_High/Low_Subject_22
1215193.4972422798,TaskSwitch_Target_Even/Odd_Subject_22
1215194.5983618933,Missed_Target_Subject_22
1215194.6146048934,Missed_Target_Subject_22
1215194.6314334935,Missed_Target_Subject_22
1215194.6477782938,Missed_Target_Subject_22
1215194.664254894,Missed_Target_Subject_22
1215194.6809917942,Missed_Target_Subject_22
1215194.6986751945,Missed_Target_Subject_22
1215194.7144845948,Missed_Target_Subject_22
1215194.7314136948,Missed_Target_Subject_22
1215194.748149095,Missed_Target_Subject_22
1215194.763936995,Missed_Target_Subject_22
1215194.7795890954,Missed_Target_Subject_22
1215194.7961030956,Missed_Target_Subject_22
1215194.812558096,Missed_Target_Subject_22
1215194.829533196,Missed_Target_Subject_22
1215194.8462126963,Missed_Target_Subject_22
1215194.8620266966,Missed_Target_Subject_22
1215194.8787205964,Missed_Target_Subject_22
1215194.8954815967,Missed_Target_Subject_22
1215194.9127807969,Missed_Target_Subject_22
1215194.9305829972,Missed_Target_Subject_22
1215194.9472473974,Missed_Target_Subject_22
1215194.9636636977,Missed_Target_Subject_22
1215194.980458398,Missed_Target_Subject_22
1215194.997068898,Missed_Target_Subject_22
1215195.014000998,Missed_Target_Subject_22
1215195.0304569984,Missed_Target_Subject_22
1215195.0460897987,Missed_Target_Subject_22
1215195.063272799,Missed_Target_Subject_22
1215195.079886499,Missed_Target_Subject_22
1215195.0959190994,Missed_Target_Subject_22
1215195.1128926994,Missed_Target_Subject_22
1215195.1312482997,Missed_Target_Subject_22
1215195.1474025997,Missed_Target_Subject_22
1215195.1644344,Missed_Target_Subject_22
1215195.1814282003,Missed_Target_Subject_22
1215195.2140071008,TaskSwitch_NonTarget_High/Low_Subject_22
1215196.9278591215,TaskSwitch_NonTarget_High/Low_Subject_22
1215198.6285272422,TaskSwitch_NonTarget_High/Low_Subject_22
1215200.336363663,TaskSwitch_NonTarget_Even/Odd_Subject_22
1215202.0526732837,TaskSwitch_NonTarget_Even/Odd_Subject_22
1215203.7568868045,TaskSwitch_NonTarget_High/Low_Subject_22
1215205.4687427252,TaskSwitch_Target_High/Low_Subject_22
1215206.3560465362,Correct_Response_Subject_22
1215207.172058946,TaskSwitch_Target_Even/Odd_Subject_22
1215208.2546291593,Correct_Response_Subject_22
1215208.8747260666,TaskSwitch_Target_High/Low_Subject_22
1215209.8707135788,Correct_Response_Subject_22
1215210.5844315875,TaskSwitch_Target_High/Low_Subject_22
1215211.5042790987,Correct_Response_Subject_22
1215212.3022843085,TaskSwitch_NonTarget_Even/Odd_Subject_22
1215214.004650529,TaskSwitch_NonTarget_High/Low_Subject_22
1215215.7196950498,TaskSwitch_NonTarget_High/Low_Subject_22
1215217.4237954705,TaskSwitch_Target_High/Low_Subject_22
1215218.2169809802,Correct_Response_Subject_22
1215219.1346754916,TaskSwitch_NonTarget_Even/Odd_Subject_22
1215220.8467402123,TaskSwitch_Target_Even/Odd_Subject_22
1215221.9607625257,Missed_Target_Subject_22
1215221.976818126,Missed_Target_Subject_22
1215221.9924594262,Missed_Target_Subject_22
1215222.0085653265,Missed_Target_Subject_22
1215222.0242500266,Missed_Target_Subject_22
1215222.0402401267,Correct_Response_Subject_22
1215222.5558225329,TaskSwitch_NonTarget_Even/Odd_Subject_22
1215223.4032228435,False_Alarm_Subject_22
1215224.2706824539,TaskSwitch_NonTarget_High/Low_Subject_22
1215225.9740378747,TaskSwitch_Target_High/Low_Subject_22
1215226.907908386,Correct_Response_Subject_22
1215227.6865797953,TaskSwitch_NonTarget_High/Low_Subject_22
1215229.3992675163,TaskSwitch_NonTarget_Even/Odd_Subject_22
1215231.104140737,TaskSwitch_NonTarget_High/Low_Subject_22
1215232.8191737577,TaskSwitch_NonTarget_High/Low_Subject_22
1215234.5260312785,TaskSwitch_NonTarget_High/Low_Subject_22
1215236.2258486992,TaskSwitch_Target_Even/Odd_Subject_22
1215237.3370340127,Missed_Target_Subject_22
1215237.353908313,Missed_Target_Subject_22
1215237.3710849131,Missed_Target_Subject_22
1215237.3874279135,Missed_Target_Subject_22
1215237.4040600134,Missed_Target_Subject_22
1215237.4214312136,Missed_Target_Subject_22
1215237.4373791139,Missed_Target_Subject_22
1215237.4535581141,Missed_Target_Subject_22
1215237.4699431143,Missed_Target_Subject_22
1215237.4866685146,Missed_Target_Subject_22
1215237.5029706147,Missed_Target_Subject_22
1215237.519882615,Missed_Target_Subject_22
1215237.536341615,Missed_Target_Subject_22
1215237.5528704152,Missed_Target_Subject_22
1215237.5695324156,Missed_Target_Subject_22
1215237.5856129157,Missed_Target_Subject_22
1215237.601328616,Missed_Target_Subject_22
1215237.6185260161,Missed_Target_Subject_22
1215237.6350990164,Missed_Target_Subject_22
1215237.6521636164,Missed_Target_Subject_22
1215237.6690224167,Missed_Target_Subject_22
1215237.6849766169,Missed_Target_Subject_22
1215237.7023206172,Missed_Target_Subject_22
1215237.7199914174,Missed_Target_Subject_22
1215237.7352379176,Missed_Target_Subject_22
1215237.752365118,Missed_Target_Subject_22
1215237.7694875181,Missed_Target_Subject_22
1215237.786770318,Missed_Target_Subject_22
1215237.8034305184,Missed_Target_Subject_22
1215237.8197218184,Missed_Target_Subject_22
1215237.8362459186,Missed_Target_Subject_22
