timestamp,Fp1,Fp2,F3,Fz,F4,Cz,Pz,Oz
887834.8792456205,-68526.25,-66488.28,9638.713,-4127.8076,-17880.697,-27555.625,-21766.44,9012.98
887834.8832456162,-68522.26,-66479.695,9645.508,-4127.6855,-17884.48,-27554.281,-21757.488,9020.305
887834.8872456119,-68520.875,-66479.74,9648.764,-4128.296,-17879.803,-27552.125,-21755.047,9021.322
887834.8912456075,-68527.836,-66488.28,9640.747,-4131.063,-17884.48,-27551.025,-21758.465,9017.985
887834.8952456033,-68528.52,-66487.67,9647.461,-4127.9297,-17885.05,-27551.352,-21761.719,9017.05
887834.8992455989,-68519.125,-66479.45,9642.863,-4126.465,-17872.559,-27552.084,-21760.092,9023.886
887834.9032455947,-68523.6,-66485.44,9646.118,-4126.6685,-17876.262,-27555.705,-21767.66,9014.404
887834.9072455904,-68524.25,-66492.19,9651.286,-4128.174,-17877.197,-27558.635,-21773.967,9008.749
887834.911245586,-68523.73,-66486.25,9644.003,-4128.174,-17869.832,-27560.873,-21775.066,9013.713
887834.9152455818,-68517.83,-66478.27,9641.439,-4125.122,-17881.512,-27562.541,-21772.705,9018.107
887834.9192455774,-68516.195,-66474.04,9643.921,-4123.291,-17869.914,-27565.064,-21773.438,9019.775
887834.9232455732,-68514.57,-66475.016,9652.1,-4122.5996,-17868.734,-27562.744,-21768.719,9021.973
887834.9272455688,-68521.734,-66484.26,9646.078,-4127.645,-17871.95,-27561.117,-21771.484,9017.619
887834.9312455645,-68524.17,-66486.78,9641.317,-4130.371,-17866.943,-27557.902,-21767.13,9028.402
887834.9352455602,-68510.78,-66476.93,9650.961,-4126.384,-17865.357,-27558.229,-21759.727,9042.603
887834.9392455559,-68511.03,-66478.11,9654.094,-4125.5293,-17872.682,-27557.943,-21761.436,9035.686
887834.9432455517,-68514.164,-66481.695,9652.751,-4122.5586,-17875.447,-27557.537,-21764.854,9025.839
887834.9472455473,-68510.09,-66475.79,9656.982,-4120.687,-17868.002,-27552.734,-21760.742,9031.494
887834.951245543,-68517.62,-66483.56,9657.1045,-4123.9424,-17875.285,-27550.01,-21760.947,9033.488
887834.9552455387,-68522.22,-66488.484,9651.652,-4124.3896,-17873.82,-27553.793,-21764.527,9025.92
887834.9592455344,-68516.484,-66481.65,9659.506,-4121.7856,-17878.377,-27553.264,-21757.162,9034.953
887834.9632455301,-68518.48,-66481.695,9657.1045,-4122.4775,-17879.273,-27554.078,-21756.512,9036.296
887834.9672455258,-68520.8,-66483.195,9654.623,-4124.5933,-17873.902,-27556.479,-21760.377,9029.135
887834.9712455214,-68520.67,-66478.64,9658.977,-4123.169,-17872.803,-27556.846,-21764.69,9026.489
887834.9752455172,-68525.27,-66485.96,9651.855,-4124.919,-17869.223,-27557.537,-21768.678,9020.59
887834.9792455129,-68520.914,-66488.28,9650.024,-4126.5464,-17880.25,-27559.082,-21770.387,9017.456
887834.9832455086,-68529.55,-66492.8,9647.787,-4127.401,-17878.174,-27559.938,-21776.896,9010.742
887834.9872455043,-68524.54,-66488.89,9650.798,-4125.041,-17872.152,-27563.64,-21776.367,9013.388
887834.9912454999,-68520.43,-66486.01,9657.959,-4122.152,-17867.27,-27565.146,-21777.588,9013.55
887834.9952454957,-68526.05,-66490.84,9654.541,-4124.5933,-17884.562,-27565.553,-21779.42,9008.342
887834.9992454913,-68524.62,-66488.734,9658.773,-4125.407,-17888.104,-27566.244,-21780.559,9005.9
887835.0032454871,-68524.25,-66489.09,9661.296,-4125.0,-17888.143,-27566.447,-21776.734,9009.644
887835.0072454828,-68518.11,-66481.81,9660.238,-4122.3555,-17870.525,-27563.559,-21767.213,9018.718
887835.0112454784,-68518.92,-66481.77,9654.094,-4123.454,-17867.188,-27560.914,-21760.295,9028.361
887835.0152454742,-68522.79,-66487.555,9663.412,-4123.698,-17877.156,-27561.24,-21764.283,9027.263
887835.0192454698,-68523.32,-66490.484,9655.111,-4126.5464,-17880.574,-27559.043,-21762.168,9024.496
887835.0232454656,-68529.18,-66495.41,9653.769,-4128.052,-17885.621,-27557.74,-21761.963,9019.287
887835.0272454612,-68529.016,-66495.52,9655.844,-4128.662,-17888.143,-27557.537,-21762.207,9020.956
887835.0312454569,-68533.24,-66502.65,9656.698,-4129.802,-17893.23,-27556.396,-21766.154,9020.305
887835.0352454527,-68528.41,-66495.37,9662.395,-4124.797,-17886.76,-27561.809,-21766.684,9028.524
887835.0392454483,-68526.98,-66493.414,9659.668,-4125.936,-17889.934,-27559.814,-21761.191,9041.342
887835.0432454441,-68527.06,-66495.77,9655.884,-4125.6104,-17884.521,-27562.135,-21765.016,9035.727
887835.0472454397,-68529.3,-66497.766,9659.343,-4124.0234,-17885.662,-27563.273,-21770.305,9024.699
887835.0512454354,-68532.8,-66500.2,9658.813,-4125.407,-17892.537,-27564.861,-21773.643,9021.566
887835.0552454311,-68528.73,-66494.836,9668.498,-4124.105,-17894.328,-27563.438,-21771.078,9024.78
887835.0592454268,-68527.18,-66498.984,9659.912,-4125.163,-17893.84,-27562.908,-21769.248,9017.863
887835.0632454226,-68522.87,-66497.07,9654.907,-4124.5527,-17880.494,-27563.273,-21765.463,9024.821
887835.0672454182,-68517.21,-66491.13,9663.615,-4122.1924,-17876.1,-27565.879,-21768.963,9021.037
887835.0712454139,-68514.41,-66488.2,9665.487,-4119.751,-17886.598,-27566.773,-21774.537,9010.661
887835.0752454096,-68525.59,-66500.2,9659.953,-4125.0,-17893.148,-27564.902,-21777.914,9003.622
887835.0792454053,-68517.3,-66489.42,9662.517,-4121.4194,-17882.121,-27566.57,-21766.236,9024.089
887835.083245401,-68516.12,-66489.75,9663.818,-4122.518,-17879.314,-27567.871,-21771.729,9022.868
887835.0872453967,-68515.38,-66482.26,9669.76,-4120.3613,-17867.39,-27568.238,-21772.87,9024.292
887835.0912453923,-68519.734,-66483.44,9665.894,-4122.274,-17871.664,-27567.506,-21774.578,9020.996
887835.0952453881,-68520.39,-66487.14,9668.335,-4123.2505,-17881.307,-27567.506,-21774.822,9020.63
887835.0992453838,-68513.92,-66480.92,9676.433,-4123.088,-17884.115,-27566.326,-21771.852,9025.635
887835.1032453795,-68515.79,-66487.8,9666.504,-4124.9595,-17883.016,-27563.926,-21772.422,9019.897
887835.1072453752,-68510.945,-66488.94,9670.98,-4123.698,-17881.023,-27562.623,-21767.05,9032.39
887835.1112453708,-68506.15,-66488.61,9671.265,-4123.2505,-17890.87,-27563.314,-21766.398,9035.6045
887835.1152453666,-68520.67,-66502.445,9663.656,-4126.872,-17905.885,-27564.332,-21770.264,9030.803
887835.1192453622,-68521.61,-66495.52,9662.802,-4123.983,-17894.246,-27564.453,-21770.469,9025.391
887835.123245358,-68515.875,-66483.73,9664.958,-4121.257,-17882.324,-27564.535,-21774.62,9022.258
887835.1272453537,-68519.62,-66488.89,9663.737,-4123.413,-17890.545,-27567.139,-21783.123,9018.84
887835.1312453493,-68533.2,-66494.305,9661.296,-4124.634,-17889.975,-27569.906,-21788.006,9013.998
887835.1352453451,-68517.664,-66477.664,9665.854,-4119.8325,-17886.271,-27568.809,-21776.45,9027.304
887835.1392453407,-68516.805,-66473.31,9663.818,-4120.443,-17881.55,-27569.865,-21773.113,9028.891
887835.1432453365,-68521.484,-66475.51,9665.161,-4122.8027,-17882.162,-27569.621,-21773.967,9027.263
887835.1472453321,-68520.875,-66472.91,9665.771,-4122.5996,-17873.78,-27564.453,-21768.434,9034.668
887835.1512453278,-68519.66,-66472.21,9667.48,-4122.03,-17869.67,-27561.24,-21763.633,9038.778
887835.1552453235,-68525.96,-66478.92,9661.784,-4123.7793,-17877.523,-27559.205,-21763.021,9029.826
887835.1592453192,-68533.81,-66483.766,9660.075,-4127.075,-17882.568,-27560.303,-21768.555,9029.46
887835.163245315,-68535.08,-66484.336,9656.535,-4128.581,-17881.756,-27560.264,-21766.236,9035.808
887835.1672453106,-68521.24,-66470.586,9656.535,-4124.634,-17880.738,-27558.676,-21750.57,9064.25
887835.1712453063,-68532.02,-66481.445,9660.889,-4124.797,-17888.592,-27562.338,-21761.76,9050.009
887835.175245302,-68528.61,-66477.79,9664.185,-4122.925,-17884.766,-27564.25,-21763.998,9045.248
887835.1792452977,-68524.45,-66472.945,9661.906,-4123.861,-17880.047,-27565.47,-21764.201,9038.493
887835.1832452934,-68523.64,-66478.516,9665.527,-4121.948,-17881.756,-27566.57,-21767.742,9041.26
887835.1872452891,-68524.21,-66478.68,9668.132,-4120.9717,-17879.11,-27566.814,-21774.334,9031.942
887835.1912452847,-68521.164,-66477.87,9669.475,-4119.67,-17872.518,-27568.441,-21775.146,9026.652
887835.1952452805,-68514.04,-66470.5,9671.062,-4118.205,-17877.645,-27568.809,-21770.143,9033.8545
887835.1992452762,-68517.5,-66474.65,9668.62,-4120.5244,-17882.527,-27568.076,-21773.031,9034.872
887835.2032452719,-68522.79,-66478.84,9669.922,-4122.8438,-17886.23,-27566.447,-21772.99,9035.441
887835.2072452676,-68519.695,-66476.89,9674.194,-4121.7856,-17879.924,-27563.965,-21766.44,9041.992
887835.2112452632,-68525.555,-66479.984,9674.927,-4122.152,-17874.92,-27564.658,-21768.271,9031.088
887835.215245259,-68538.17,-66482.38,9659.872,-4125.2036,-17880.33,-27561.605,-21763.672,9033.813
887835.2192452546,-68544.48,-66491.21,9660.482,-4127.523,-17893.107,-27563.193,-21768.76,9026.652
887835.2232452504,-68544.68,-66495.93,9667.033,-4125.936,-17887.86,-27564.291,-21773.926,9023.764
887835.2272452461,-68544.6,-66494.51,9666.138,-4126.506,-17882.568,-27564.129,-21775.555,9022.258
887835.2312452417,-68544.234,-66489.95,9666.098,-4124.634,-17880.818,-27564.576,-21777.955,9016.602
887835.2352452375,-68555.914,-66500.125,9661.662,-4127.6045,-17904.135,-27565.39,-21780.803,9015.951
887835.2392452331,-68569.586,-66514.81,9654.745,-4132.4463,-17910.36,-27566.203,-21787.314,9002.89
887835.2432452289,-68552.086,-66498.25,9663.696,-4125.2036,-17884.604,-27565.756,-21780.479,9011.76
887835.2472452245,-68549.56,-66499.96,9671.347,-4123.8203,-17886.883,-27564.576,-21783.285,9010.051
887835.2512452202,-68545.78,-66497.73,9667.114,-4123.8203,-17891.766,-27561.89,-21779.623,9014.242
887835.255245216,-68549.484,-66493.37,9665.935,-4123.3726,-17889.893,-27563.314,-21776.979,9015.381
887835.2592452116,-68557.91,-66500.41,9669.638,-4126.18,-17894.451,-27565.268,-21783.367,9009.929
887835.2632452074,-68560.23,-66506.43,9668.905,-4127.0347,-17890.87,-27564.941,-21788.127,9005.9
887835.267245203,-68558.11,-66508.305,9668.742,-4127.279,-17883.871,-27563.844,-21789.023,9004.721
887835.2712451987,-68555.055,-66505.01,9672.404,-4125.6104,-17879.15,-27562.826,-21789.43,9002.075
887835.2752451944,-68558.516,-66509.93,9669.882,-4127.3604,-17893.434,-27566.732,-21796.143,8994.141
887835.2792451901,-68554.484,-66510.945,9666.748,-4127.9707,-17896.566,-27568.645,-21795.207,8996.094
887835.2832451859,-68554.164,-66505.66,9670.207,-4125.4478,-17889.568,-27566.406,-21793.865,9003.703
887835.2872451815,-68553.23,-66504.56,9674.235,-4124.878,-17888.672,-27563.72,-21795.29,9004.028
887835.2912451772,-68540.41,-66487.47,9672.201,-4121.135,-17877.076,-27565.35,-21795.94,9001.791
887835.2952451729,-68538.9,-66479.375,9670.126,-4120.8496,-17879.436,-27568.156,-21801.23,8995.769
887835.2992451686,-68530.73,-66473.88,9678.793,-4117.92,-17880.291,-27568.564,-21796.836,9006.714
887835.3032451643,-68532.92,-66473.23,9669.108,-4120.1987,-17875.732,-27569.053,-21800.09,9001.628
887835.30724516,-68508.95,-66455.53,9683.065,-4117.1064,-17875.53,-27569.053,-21793.457,9012.817
887835.3112451556,-68492.92,-66438.03,9685.588,-4112.59,-17871.623,-27568.768,-21788.697,9022.055
887835.3152451514,-68491.91,-66429.484,9686.523,-4111.7354,-17872.926,-27570.232,-21797.812,9002.971
887835.319245147,-68489.34,-66428.19,9687.541,-4112.712,-17880.371,-27571.25,-21803.672,8985.637
887835.3232451428,-68470.22,-66407.39,9690.186,-4109.538,-17866.17,-27568.727,-21795.818,8993.896
887835.3272451385,-68454.76,-66390.664,9694.946,-4106.323,-17856.445,-27570.354,-21799.48,8995.361
887835.3312451341,-68451.26,-66377.2,9694.743,-4103.76,-17851.645,-27572.55,-21804.893,8996.867
887835.3352451299,-68443.195,-66366.414,9697.0625,-4101.8477,-17858.318,-27572.43,-21800.537,9006.877
887835.3392451255,-68432.62,-66353.07,9704.55,-4098.5923,-17849.773,-27574.219,-21798.057,9005.859
887835.3432451213,-68431.36,-66352.83,9706.625,-4098.3887,-17840.658,-27577.393,-21803.63,8993.896
887835.347245117,-68426.72,-66353.15,9712.158,-4096.029,-17834.31,-27577.354,-21805.87,8993.49
887835.3512451126,-68428.67,-66356.9,9704.184,-4099.162,-17834.148,-27576.66,-21805.096,8989.706
