timestamp,marker
963699.7115538723,Paradigm_Start_Stroop Task_Subject_8
963699.7272129719,Stroop_NonCongruent_Subject_8
963701.4337370383,Stroop_NonCongruent_Subject_8
963703.1459287044,Stroop_NonCongruent_Subject_8
963704.8607777705,Stroop_NonCongruent_Subject_8
963706.5757392367,Stroop_Congruent_Subject_8
963707.2756172228,Correct_Response_Subject_8
963708.279871603,Stroop_NonCongruent_Subject_8
963709.9929101692,Stroop_NonCongruent_Subject_8
963710.4347350604,False_Alarm_Subject_8
963711.7082005353,Stroop_NonCongruent_Subject_8
963713.4109114016,Stroop_Congruent_Subject_8
963714.0864269884,Correct_Response_Subject_8
963715.1236997679,Stroop_NonCongruent_Subject_8
963716.837828234,Stroop_NonCongruent_Subject_8
963718.5445366002,Stroop_NonCongruent_Subject_8
963720.2443639667,Stroop_NonCongruent_Subject_8
963721.9616178328,Stroop_NonCongruent_Subject_8
963723.6712688991,Stroop_Congruent_Subject_8
963724.1612382893,Correct_Response_Subject_8
963725.3820489652,Stroop_NonCongruent_Subject_8
963727.0949306315,Stroop_NonCongruent_Subject_8
963728.8110103975,Stroop_Congruent_Subject_8
963729.4990309839,Correct_Response_Subject_8
963730.5220618637,Stroop_NonCongruent_Subject_8
963732.22638953,Stroop_NonCongruent_Subject_8
963732.5932833228,False_Alarm_Subject_8
963733.9356772962,Stroop_NonCongruent_Subject_8
963735.6438356625,Stroop_NonCongruent_Subject_8
963737.3518558288,Stroop_NonCongruent_Subject_8
963739.062809795,Stroop_NonCongruent_Subject_8
963740.7688121613,Stroop_NonCongruent_Subject_8
963742.4729764276,Stroop_NonCongruent_Subject_8
963744.1823872939,Stroop_NonCongruent_Subject_8
963745.8933312601,Stroop_NonCongruent_Subject_8
963747.6088180261,Stroop_Congruent_Subject_8
963748.3452849116,Correct_Response_Subject_8
963749.3138684925,Stroop_NonCongruent_Subject_8
963751.0247264588,Stroop_Congruent_Subject_8
963751.567806648,Correct_Response_Subject_8
963752.7247770252,Stroop_NonCongruent_Subject_8
963754.4275132915,Stroop_NonCongruent_Subject_8
963756.1279725579,Stroop_Congruent_Subject_8
963756.8771995432,Correct_Response_Subject_8
963757.8378828242,Stroop_NonCongruent_Subject_8
963759.5433387904,Stroop_NonCongruent_Subject_8
963761.2442529569,Stroop_Congruent_Subject_8
963762.1756463385,Correct_Response_Subject_8
963762.9623538229,Stroop_Congruent_Subject_8
963763.6775319088,Correct_Response_Subject_8
963764.6645974893,Stroop_Congruent_Subject_8
963765.4104110746,Correct_Response_Subject_8
963766.3756529555,Stroop_NonCongruent_Subject_8
963768.0900346217,Stroop_Congruent_Subject_8
963768.6500196105,Correct_Response_Subject_8
963769.792171088,Stroop_Congruent_Subject_8
963770.7192084697,Correct_Response_Subject_8
963771.4945917544,Stroop_NonCongruent_Subject_8
963771.9918575445,False_Alarm_Subject_8
963773.2092647206,Stroop_NonCongruent_Subject_8
963774.9250531866,Stroop_NonCongruent_Subject_8
963775.7262178707,False_Alarm_Subject_8
963776.6246827531,Stroop_NonCongruent_Subject_8
963778.3398685192,Stroop_NonCongruent_Subject_8
963780.0431600856,Stroop_NonCongruent_Subject_8
963781.7558497516,Stroop_NonCongruent_Subject_8
963783.4709643178,Stroop_NonCongruent_Subject_8
963785.1756746841,Stroop_NonCongruent_Subject_8
963786.8913409503,Stroop_Congruent_Subject_8
963787.6555623352,Correct_Response_Subject_8
963788.6075126164,Stroop_Congruent_Subject_8
963789.7219558944,Missed_Target_Subject_8
963789.7383954941,Missed_Target_Subject_8
963789.7550746937,Missed_Target_Subject_8
963789.7716974934,Missed_Target_Subject_8
963789.788900993,Missed_Target_Subject_8
963789.8057100928,Missed_Target_Subject_8
963789.8242712923,Missed_Target_Subject_8
963789.840593392,Correct_Response_Subject_8
963790.3132172828,Stroop_NonCongruent_Subject_8
963790.9444886702,False_Alarm_Subject_8
963792.017261349,Stroop_NonCongruent_Subject_8
963793.7277210152,Stroop_NonCongruent_Subject_8
963795.4279379817,Stroop_NonCongruent_Subject_8
963797.1343355479,Stroop_Congruent_Subject_8
963797.6737767373,Correct_Response_Subject_8
963798.8416668143,Stroop_NonCongruent_Subject_8
963800.5423832807,Stroop_Congruent_Subject_8
963801.5155554614,Correct_Response_Subject_8
963802.2580896468,Stroop_NonCongruent_Subject_8
963803.9588743132,Stroop_NonCongruent_Subject_8
963805.6706571793,Stroop_Congruent_Subject_8
963806.6750925594,Correct_Response_Subject_8
963807.3734398457,Stroop_NonCongruent_Subject_8
963809.0876721118,Stroop_NonCongruent_Subject_8
963809.7104698995,False_Alarm_Subject_8
963810.7942098782,Stroop_NonCongruent_Subject_8
963812.5020343445,Stroop_NonCongruent_Subject_8
963813.0120685343,False_Alarm_Subject_8
963814.2049183107,Stroop_NonCongruent_Subject_8
963815.916937877,Stroop_NonCongruent_Subject_8
963817.6242419432,Stroop_NonCongruent_Subject_8
963819.3401137094,Stroop_Congruent_Subject_8
963819.9502823973,Correct_Response_Subject_8
963821.0423926758,Stroop_NonCongruent_Subject_8
963821.9243413582,False_Alarm_Subject_8
963822.7454717421,Stroop_NonCongruent_Subject_8
963824.4576672083,Stroop_Congruent_Subject_8
963825.38378489,Correct_Response_Subject_8
963826.1586642747,Stroop_Congruent_Subject_8
963826.8564002608,Correct_Response_Subject_8
963827.862898741,Stroop_Congruent_Subject_8
963828.6069010263,Correct_Response_Subject_8
963829.5720569073,Stroop_NonCongruent_Subject_8
963831.2914585733,Stroop_NonCongruent_Subject_8
963833.0041657394,Stroop_NonCongruent_Subject_8
963834.7136054056,Stroop_Congruent_Subject_8
963835.356899493,Correct_Response_Subject_8
963836.4308558718,Stroop_Congruent_Subject_8
963837.53436735,Missed_Target_Subject_8
963837.5509281497,Missed_Target_Subject_8
963837.5673806494,Missed_Target_Subject_8
963837.5834649489,Missed_Target_Subject_8
963837.6009238487,Missed_Target_Subject_8
963837.6169835484,Missed_Target_Subject_8
963837.633508348,Missed_Target_Subject_8
963837.6500774476,Missed_Target_Subject_8
963837.6654907473,Missed_Target_Subject_8
963837.682952947,Missed_Target_Subject_8
963837.6986909468,Missed_Target_Subject_8
963837.7147644464,Missed_Target_Subject_8
963837.7313805461,Missed_Target_Subject_8
963837.7489247457,Missed_Target_Subject_8
963837.7664321454,Missed_Target_Subject_8
963837.783977045,Missed_Target_Subject_8
963837.8004388447,Missed_Target_Subject_8
963837.8180913443,Missed_Target_Subject_8
963837.8341155441,Missed_Target_Subject_8
963837.8507199438,Missed_Target_Subject_8
963837.8677768434,Missed_Target_Subject_8
963837.8843269431,Missed_Target_Subject_8
963837.9003345427,Missed_Target_Subject_8
963837.9170388425,Missed_Target_Subject_8
963837.9330160421,Missed_Target_Subject_8
963837.9492297418,Missed_Target_Subject_8
963837.9655715415,Missed_Target_Subject_8
963837.9820643412,Missed_Target_Subject_8
963837.9990837409,Missed_Target_Subject_8
963838.0153145405,Missed_Target_Subject_8
963838.0320600402,Missed_Target_Subject_8
963838.0483913398,Missed_Target_Subject_8
963838.0656226394,Missed_Target_Subject_8
963838.0811553393,Missed_Target_Subject_8
963838.0985317389,Missed_Target_Subject_8
963838.1142475385,Missed_Target_Subject_8
963838.145531538,Stroop_NonCongruent_Subject_8
963839.8525911041,Stroop_Congruent_Subject_8
963840.265049796,Correct_Response_Subject_8
963841.5574875706,Stroop_Congruent_Subject_8
963842.141656959,Correct_Response_Subject_8
963843.2616648369,Stroop_NonCongruent_Subject_8
963844.973246403,Stroop_Congruent_Subject_8
963845.6493970897,Correct_Response_Subject_8
963846.6734411694,Stroop_Congruent_Subject_8
963847.7794392476,Missed_Target_Subject_8
963847.7952588473,Missed_Target_Subject_8
963847.812423847,Missed_Target_Subject_8
963847.8286392466,Missed_Target_Subject_8
963847.8447430463,Missed_Target_Subject_8
963847.860591246,Missed_Target_Subject_8
963847.8777248458,Missed_Target_Subject_8
963847.8944151454,Missed_Target_Subject_8
963847.910797545,Missed_Target_Subject_8
963847.9274624446,Missed_Target_Subject_8
963847.9437894443,Missed_Target_Subject_8
963847.9593414441,Missed_Target_Subject_8
963847.9754658437,Missed_Target_Subject_8
963847.9922140434,Missed_Target_Subject_8
963848.009912343,Missed_Target_Subject_8
963848.0260625427,Missed_Target_Subject_8
963848.0427918425,Missed_Target_Subject_8
963848.0597351422,Missed_Target_Subject_8
963848.0749792417,Missed_Target_Subject_8
963848.0917424414,Missed_Target_Subject_8
963848.109014841,Missed_Target_Subject_8
963848.1255538409,Missed_Target_Subject_8
963848.1436515404,Missed_Target_Subject_8
963848.1608290401,Missed_Target_Subject_8
963848.1762529397,Missed_Target_Subject_8
963848.1927891395,Missed_Target_Subject_8
963848.209459639,Missed_Target_Subject_8
963848.2252623389,Missed_Target_Subject_8
963848.2425199385,Missed_Target_Subject_8
963848.2586948382,Missed_Target_Subject_8
963848.2753623378,Missed_Target_Subject_8
963848.2916628375,Missed_Target_Subject_8
963848.3077528372,Missed_Target_Subject_8
963848.3246514369,Missed_Target_Subject_8
963848.3415458365,Missed_Target_Subject_8
963848.3742458358,Stroop_NonCongruent_Subject_8
963850.0876490021,Stroop_Congruent_Subject_8
963850.6242319915,Correct_Response_Subject_8
963851.805168968,Stroop_Congruent_Subject_8
963852.9143398462,Missed_Target_Subject_8
963852.9314064458,Missed_Target_Subject_8
963852.9487802455,Missed_Target_Subject_8
963852.9643682452,Missed_Target_Subject_8
963852.9808017449,Missed_Target_Subject_8
963852.9969203445,Missed_Target_Subject_8
963853.0121543442,Missed_Target_Subject_8
963853.0287793439,Missed_Target_Subject_8
963853.0456180436,Missed_Target_Subject_8
963853.0623987432,Missed_Target_Subject_8
963853.0803916429,Missed_Target_Subject_8
963853.0957313426,Missed_Target_Subject_8
963853.1123264423,Missed_Target_Subject_8
963853.128969042,Missed_Target_Subject_8
963853.1460431416,Missed_Target_Subject_8
963853.1626562413,Missed_Target_Subject_8
963853.179017141,Missed_Target_Subject_8
963853.1959124405,Missed_Target_Subject_8
963853.2121406404,Missed_Target_Subject_8
963853.22924154,Missed_Target_Subject_8
963853.2457886396,Missed_Target_Subject_8
963853.2622592393,Missed_Target_Subject_8
963853.2790231389,Missed_Target_Subject_8
963853.2958320386,Missed_Target_Subject_8
963853.3125440383,Missed_Target_Subject_8
963853.328747338,Missed_Target_Subject_8
963853.3452740377,Missed_Target_Subject_8
963853.3616875373,Missed_Target_Subject_8
963853.378039337,Missed_Target_Subject_8
963853.3952223366,Missed_Target_Subject_8
963853.4121296364,Missed_Target_Subject_8
963853.428289136,Missed_Target_Subject_8
963853.4447082357,Missed_Target_Subject_8
963853.4605005353,Missed_Target_Subject_8
963853.4761857351,Missed_Target_Subject_8
963853.5089606345,Stroop_NonCongruent_Subject_8
963853.6403880318,False_Alarm_Subject_8
963855.2119732008,Stroop_Congruent_Subject_8
963855.6259481927,Correct_Response_Subject_8
963856.925048567,Stroop_NonCongruent_Subject_8
963858.6414204331,Stroop_NonCongruent_Subject_8
963860.3480107994,Stroop_NonCongruent_Subject_8
963862.0501538657,Stroop_NonCongruent_Subject_8
963863.755142532,Stroop_NonCongruent_Subject_8
963864.1727007239,False_Alarm_Subject_8
963865.4714791981,Stroop_NonCongruent_Subject_8
963866.1612723845,False_Alarm_Subject_8
963867.1747640645,Stroop_NonCongruent_Subject_8
963868.8906322306,Stroop_NonCongruent_Subject_8
963870.6017486969,Paradigm_End_Stroop Task_Subject_8
