timestamp,marker
969026.9399022582,Paradigm_Start_Oddball Paradigm_Subject_13
969026.9545247582,Oddball_Target_Subject_13
969027.6391626584,Correct_Response_Subject_13
969028.0568268585,Oddball_Target_Subject_13
969028.5218960587,Correct_Response_Subject_13
969029.1576759588,Oddball_NonTarget_Subject_13
969030.2729325593,Oddball_NonTarget_Subject_13
969031.3859003596,Oddball_NonTarget_Subject_13
969032.4910153598,Oddball_NonTarget_Subject_13
969033.6059430601,Oddball_Target_Subject_13
969033.9912415603,Correct_Response_Subject_13
969034.7060207605,Oddball_NonTarget_Subject_13
969035.8220591608,Oddball_Target_Subject_13
969036.1889130609,Correct_Response_Subject_13
969036.9230251613,Oddball_NonTarget_Subject_13
969038.0221725615,Oddball_NonTarget_Subject_13
969039.1374859619,Oddball_Target_Subject_13
969039.522039762,Correct_Response_Subject_13
969040.2399280623,Oddball_NonTarget_Subject_13
969041.3510392626,Oddball_Target_Subject_13
969041.7555079627,Correct_Response_Subject_13
969042.4552564628,Oddball_NonTarget_Subject_13
969043.5565985632,Oddball_NonTarget_Subject_13
969044.6713715636,Oddball_NonTarget_Subject_13
969045.7880750638,Oddball_Target_Subject_13
969046.103801364,Correct_Response_Subject_13
969046.8953964643,Oddball_NonTarget_Subject_13
969048.0067474645,Oddball_NonTarget_Subject_13
969049.117572165,Oddball_NonTarget_Subject_13
969050.2219843653,Oddball_Target_Subject_13
969050.5243778654,Correct_Response_Subject_13
969051.3372312656,Oddball_NonTarget_Subject_13
969052.4393260659,Oddball_Target_Subject_13
969052.8216404661,Correct_Response_Subject_13
969053.5525301663,Oddball_Target_Subject_13
969053.8715944663,Correct_Response_Subject_13
969054.6557869666,Oddball_NonTarget_Subject_13
969055.757691767,Oddball_NonTarget_Subject_13
969056.8727311672,Oddball_NonTarget_Subject_13
969057.9889622676,Oddball_Target_Subject_13
969058.3547950677,Correct_Response_Subject_13
969059.1058336679,Oddball_NonTarget_Subject_13
969060.2212297684,Oddball_NonTarget_Subject_13
969061.3259841687,Oddball_NonTarget_Subject_13
969062.433800969,Oddball_NonTarget_Subject_13
969063.5349946694,Oddball_Target_Subject_13
969063.9660733695,Correct_Response_Subject_13
969064.6531130697,Oddball_Target_Subject_13
969065.1049912698,Correct_Response_Subject_13
969065.75461967,Oddball_NonTarget_Subject_13
969066.8555689703,Oddball_Target_Subject_13
969067.2716750704,Correct_Response_Subject_13
969067.9722961707,Oddball_NonTarget_Subject_13
969069.087408271,Oddball_Target_Subject_13
969069.4385950711,Correct_Response_Subject_13
969070.1884886713,Oddball_Target_Subject_13
969070.6204215714,Correct_Response_Subject_13
969071.3034033717,Oddball_NonTarget_Subject_13
969072.404526172,Oddball_NonTarget_Subject_13
969073.5090726723,Oddball_NonTarget_Subject_13
969074.6215145728,Oddball_NonTarget_Subject_13
969075.7377685731,Oddball_NonTarget_Subject_13
969076.8395882734,Oddball_NonTarget_Subject_13
969077.9540846737,Oddball_NonTarget_Subject_13
969079.0632521741,Oddball_NonTarget_Subject_13
969080.1716121744,Oddball_Target_Subject_13
969080.5048122745,Correct_Response_Subject_13
969081.2841588747,Oddball_NonTarget_Subject_13
969082.3917258751,Oddball_NonTarget_Subject_13
969083.5070402754,Oddball_NonTarget_Subject_13
969084.6134676758,Oddball_NonTarget_Subject_13
969085.7201134762,Oddball_NonTarget_Subject_13
969086.8228769765,Oddball_NonTarget_Subject_13
969087.9369809768,Oddball_Target_Subject_13
969088.2686057768,Correct_Response_Subject_13
969089.050014877,Oddball_NonTarget_Subject_13
969090.1597035774,Oddball_NonTarget_Subject_13
969091.2701390777,Oddball_NonTarget_Subject_13
969092.3714214781,Oddball_NonTarget_Subject_13
969093.4860332784,Oddball_NonTarget_Subject_13
969094.5974304788,Oddball_NonTarget_Subject_13
969095.7036678791,Oddball_Target_Subject_13
969096.0747252792,Correct_Response_Subject_13
969096.8122612794,Oddball_NonTarget_Subject_13
969097.9201761798,Oddball_Target_Subject_13
969098.25489558,Correct_Response_Subject_13
969099.0236181802,Oddball_NonTarget_Subject_13
969100.1359920804,Oddball_NonTarget_Subject_13
969101.2493979807,Oddball_NonTarget_Subject_13
969102.3551087811,Oddball_NonTarget_Subject_13
969103.4708842814,Oddball_Target_Subject_13
969103.8043527816,Correct_Response_Subject_13
969104.5835507818,Oddball_NonTarget_Subject_13
969105.6878553821,Oddball_NonTarget_Subject_13
969106.8040230825,Oddball_Target_Subject_13
969107.1531701826,Correct_Response_Subject_13
969107.9177318829,Oddball_NonTarget_Subject_13
969109.0211687832,Oddball_Target_Subject_13
969109.3992149833,Correct_Response_Subject_13
969110.1343690836,Oddball_NonTarget_Subject_13
969111.237282384,Oddball_NonTarget_Subject_13
969112.3453658841,Oddball_NonTarget_Subject_13
969113.4539566844,Oddball_Target_Subject_13
969113.7879010846,Correct_Response_Subject_13
969114.5695170849,Oddball_NonTarget_Subject_13
969115.6810341852,Oddball_NonTarget_Subject_13
969116.7810134855,Oddball_NonTarget_Subject_13
969117.8885733859,Oddball_Target_Subject_13
969118.254235386,Correct_Response_Subject_13
969119.0037335863,Oddball_NonTarget_Subject_13
969120.1199603865,Oddball_Target_Subject_13
969120.4374888866,Correct_Response_Subject_13
969121.236335387,Oddball_NonTarget_Subject_13
969122.3376173873,Oddball_Target_Subject_13
969122.7196459874,Correct_Response_Subject_13
969123.4532735876,Oddball_NonTarget_Subject_13
969124.5686060878,Oddball_NonTarget_Subject_13
969125.6800490882,Oddball_NonTarget_Subject_13
969126.7890007886,Oddball_Target_Subject_13
969127.1381332887,Correct_Response_Subject_13
969127.9026195889,Oddball_NonTarget_Subject_13
969129.0048943893,Oddball_NonTarget_Subject_13
969130.1190731896,Oddball_NonTarget_Subject_13
969131.23553329,Oddball_NonTarget_Subject_13
969132.3466066903,Oddball_NonTarget_Subject_13
969133.4523604907,Oddball_Target_Subject_13
969133.8189809908,Correct_Response_Subject_13
969134.566289791,Oddball_NonTarget_Subject_13
969135.6797737913,Oddball_Target_Subject_13
969136.0711105915,Correct_Response_Subject_13
969136.7865454915,Oddball_NonTarget_Subject_13
969137.897828892,Paradigm_End_Oddball Paradigm_Subject_13
