timestamp,marker
1396264.1891332523,Paradigm_Start_Stroop Task_Subject_17
1396264.2042550524,Stroop_NonCongruent_Subject_17
1396265.9127854498,Stroop_NonCongruent_Subject_17
1396267.625728747,Stroop_Congruent_Subject_17
1396268.436302046,Correct_Response_Subject_17
1396269.3307697447,Stroop_NonCongruent_Subject_17
1396271.047407842,Stroop_Congruent_Subject_17
1396271.761712941,Correct_Response_Subject_17
1396272.7619660394,Stroop_NonCongruent_Subject_17
1396274.465025137,Stroop_NonCongruent_Subject_17
1396276.1802531343,Stroop_NonCongruent_Subject_17
1396277.895722932,Stroop_NonCongruent_Subject_17
1396279.6046861294,Stroop_NonCongruent_Subject_17
1396281.3130741268,Stroop_NonCongruent_Subject_17
1396283.030439624,Stroop_NonCongruent_Subject_17
1396284.7460090215,Stroop_NonCongruent_Subject_17
1396286.4619060191,Stroop_Congruent_Subject_17
1396287.5705151174,Missed_Target_Subject_17
1396287.5870780174,Missed_Target_Subject_17
1396287.6033636173,Missed_Target_Subject_17
1396287.6202836174,Missed_Target_Subject_17
1396287.6364631173,Missed_Target_Subject_17
1396287.6521732174,Missed_Target_Subject_17
1396287.6682681171,Missed_Target_Subject_17
1396287.6850335172,Missed_Target_Subject_17
1396287.7023917171,Missed_Target_Subject_17
1396287.7186022173,Missed_Target_Subject_17
1396287.736037217,Missed_Target_Subject_17
1396287.7523887171,Missed_Target_Subject_17
1396287.7683798173,Missed_Target_Subject_17
1396287.7844024173,Missed_Target_Subject_17
1396287.8018599171,Missed_Target_Subject_17
1396287.8194019173,Missed_Target_Subject_17
1396287.834031017,Missed_Target_Subject_17
1396287.849491017,Missed_Target_Subject_17
1396287.867621817,Missed_Target_Subject_17
1396287.882929117,Missed_Target_Subject_17
1396287.899330417,Missed_Target_Subject_17
1396287.9150853169,Missed_Target_Subject_17
1396287.932020017,Missed_Target_Subject_17
1396287.948741117,Missed_Target_Subject_17
1396287.965616317,Missed_Target_Subject_17
1396287.9825297168,Missed_Target_Subject_17
1396287.9985956168,Missed_Target_Subject_17
1396288.0153246168,Missed_Target_Subject_17
1396288.0310748168,Missed_Target_Subject_17
1396288.0467954166,Missed_Target_Subject_17
1396288.0642345168,Missed_Target_Subject_17
1396288.0799758167,Missed_Target_Subject_17
1396288.0965479168,Missed_Target_Subject_17
1396288.1133298166,Missed_Target_Subject_17
1396288.1291251166,Missed_Target_Subject_17
1396288.1606137166,Stroop_NonCongruent_Subject_17
1396289.874894114,Stroop_Congruent_Subject_17
1396290.2889534135,Correct_Response_Subject_17
1396291.5757447113,Stroop_NonCongruent_Subject_17
1396293.2888546088,Stroop_NonCongruent_Subject_17
1396294.9954068062,Stroop_NonCongruent_Subject_17
1396296.7080272038,Stroop_Congruent_Subject_17
1396297.4907494024,Correct_Response_Subject_17
1396298.415549901,Stroop_NonCongruent_Subject_17
1396300.1297847985,Stroop_NonCongruent_Subject_17
1396301.845309296,Stroop_NonCongruent_Subject_17
1396303.5608734936,Stroop_Congruent_Subject_17
1396304.3666853923,Correct_Response_Subject_17
1396305.2610551908,Stroop_NonCongruent_Subject_17
1396306.9620371882,Stroop_NonCongruent_Subject_17
1396308.6783694858,Stroop_NonCongruent_Subject_17
1396310.3945622833,Stroop_NonCongruent_Subject_17
1396312.1023675806,Stroop_Congruent_Subject_17
1396312.64725308,Correct_Response_Subject_17
1396313.8118464781,Stroop_NonCongruent_Subject_17
1396315.5267554754,Stroop_Congruent_Subject_17
1396316.6322810738,Missed_Target_Subject_17
