timestamp,Fp1,Fp2,F3,Fz,F4,Cz,Pz,Oz
1314651.195271308,-77067.34,-110489.67,-42217.57,-57413.37,-131178.47,-41978.07,-42090.25,-47374.023
1314651.1992713038,-77036.7,-110457.234,-42187.95,-57386.76,-131155.64,-41953.94,-42061.16,-47339.355
1314651.2032712998,-77033.81,-110448.66,-42182.984,-57377.688,-131149.1,-41945.76,-42051.72,-47327.07
1314651.2072712956,-77066.125,-110475.79,-42209.027,-57399.824,-131167.64,-41965.09,-42075.24,-47352.215
1314651.2112712914,-77097.45,-110503.7,-42232.137,-57420.94,-131184.4,-41983.805,-42096.965,-47372.48
1314651.2152712874,-77086.875,-110495.57,-42218.793,-57413.414,-131179.77,-41977.785,-42088.95,-47362.754
1314651.2192712831,-77058.516,-110468.914,-42188.64,-57389.082,-131159.39,-41955.445,-42060.59,-47334.8
1314651.2232712791,-77053.96,-110460.375,-42181.113,-57380.168,-131150.11,-41945.883,-42050.824,-47322.836
1314651.227271275,-77087.08,-110488.98,-42209.35,-57402.1,-131170.3,-41963.785,-42074.953,-47345.625
1314651.231271271,-77110.92,-110508.14,-42231.0,-57422.73,-131192.62,-41985.35,-42100.098,-47370.242
1314651.2352712667,-77096.68,-110494.14,-42214.844,-57413.25,-131184.86,-41976.688,-42089.76,-47353.477
1314651.2392712627,-77067.875,-110463.09,-42182.902,-57386.76,-131164.19,-41954.387,-42061.32,-47321.21
1314651.2432712584,-77061.12,-110456.79,-42172.812,-57377.035,-131157.8,-41948.57,-42057.617,-47321.414
1314651.2472712542,-77093.95,-110486.82,-42201.05,-57399.133,-131173.5,-41969.117,-42084.23,-47346.355
1314651.2512712502,-77124.836,-110511.72,-42226.848,-57422.527,-131190.6,-41987.55,-42105.957,-47366.17
1314651.255271246,-77112.1,-110498.945,-42214.195,-57414.918,-131182.45,-41979.82,-42095.418,-47356.977
1314651.259271242,-77081.055,-110468.55,-42184.285,-57387.207,-131157.92,-41956.586,-42067.75,-47330.73
1314651.2632712377,-77081.914,-110466.68,-42180.42,-57381.473,-131154.62,-41948.367,-42055.707,-47308.31
1314651.2672712337,-77115.93,-110496.95,-42208.375,-57405.56,-131175.7,-41967.0,-42076.5,-47332.684
1314651.2712712295,-77132.65,-110511.805,-42225.223,-57424.48,-131195.84,-41983.195,-42093.387,-47367.27
1314651.2752712255,-77124.02,-110501.95,-42212.605,-57416.18,-131188.0,-41975.26,-42078.777,-47346.64
1314651.2792712213,-77093.47,-110474.29,-42183.797,-57390.3,-131165.08,-41951.66,-42052.652,-47318.523
1314651.283271217,-77090.13,-110467.57,-42178.387,-57381.715,-131153.81,-41944.824,-42046.754,-47306.355
1314651.287271213,-77124.555,-110495.24,-42205.08,-57403.04,-131172.08,-41961.71,-42067.3,-47323.285
1314651.2912712088,-77149.09,-110520.836,-42227.867,-57426.477,-131193.33,-41981.65,-42095.906,-47378.094
1314651.2952712048,-77136.516,-110508.99,-42216.473,-57417.402,-131185.31,-41973.39,-42089.152,-47386.11
1314651.2992712006,-77107.22,-110477.18,-42186.32,-57390.22,-131161.27,-41951.824,-42062.46,-47351.727
1314651.3032711965,-77103.805,-110469.77,-42178.754,-57382.773,-131157.27,-41947.184,-42056.844,-47337.28
1314651.3072711923,-77134.73,-110492.39,-42202.8,-57403.402,-131178.47,-41966.39,-42077.19,-47351.89
1314651.3112711883,-77158.53,-110513.63,-42222.617,-57422.934,-131198.69,-41982.91,-42099.61,-47385.703
1314651.315271184,-77153.12,-110510.22,-42213.22,-57416.465,-131195.11,-41975.586,-42089.844,-47369.55
1314651.3192711798,-77126.914,-110483.93,-42184.773,-57391.32,-131175.66,-41950.44,-42060.914,-47334.96
1314651.3232711758,-77121.46,-110478.766,-42177.53,-57383.832,-131170.33,-41941.69,-42052.652,-47342.41
1314651.3272711716,-77147.79,-110501.75,-42199.504,-57404.055,-131190.56,-41960.574,-42072.43,-47366.133
1314651.3312711676,-77171.875,-110523.52,-42219.645,-57424.6,-131216.8,-41979.047,-42087.484,-47378.46
1314651.3352711634,-77159.63,-110514.53,-42210.492,-57418.742,-131217.2,-41973.758,-42074.504,-47363.73
1314651.3392711594,-77136.6,-110491.984,-42183.594,-57394.492,-131200.03,-41952.434,-42045.33,-47331.504
1314651.3432711551,-77138.63,-110489.586,-42184.33,-57388.797,-131191.48,-41943.645,-42031.414,-47319.215
1314651.3472711511,-77165.77,-110511.97,-42209.434,-57409.668,-131220.06,-41960.816,-42043.66,-47336.426
1314651.351271147,-77196.01,-110533.25,-42232.42,-57428.145,-131233.94,-41978.72,-42058.27,-47354.617
1314651.3552711427,-77185.266,-110517.336,-42220.582,-57416.426,-131222.17,-41970.01,-42039.754,-47337.527
1314651.3592711387,-77156.13,-110488.85,-42191.812,-57392.05,-131197.06,-41947.55,-42008.06,-47305.34
1314651.3632711344,-77155.36,-110484.22,-42186.363,-57386.76,-131191.25,-41942.02,-42003.418,-47305.95
1314651.3672711304,-77187.38,-110512.336,-42213.094,-57409.953,-131212.0,-41962.934,-42030.19,-47337.484
1314651.3712711262,-77214.805,-110536.95,-42236.777,-57430.707,-131229.42,-41979.82,-42052.41,-47364.055
1314651.3752711222,-77204.63,-110525.92,-42223.96,-57421.55,-131221.36,-41970.01,-42040.977,-47357.06
1314651.379271118,-77171.71,-110498.25,-42198.12,-57397.95,-131200.73,-41945.64,-42008.18,-47321.13
1314651.383271114,-77166.79,-110492.92,-42189.82,-57392.742,-131204.03,-41940.43,-41999.555,-47311.363
1314651.3872711097,-77195.72,-110513.59,-42215.21,-57411.258,-131215.38,-41961.062,-42028.81,-47350.223
1314651.3912711055,-77222.82,-110534.63,-42237.508,-57429.895,-131229.3,-41980.266,-42052.207,-47383.71
1314651.3952711015,-77211.47,-110522.1,-42222.13,-57420.492,-131230.06,-41969.89,-42038.332,-47369.387
1314651.3992710973,-77185.18,-110489.055,-42196.82,-57395.793,-131202.39,-41946.535,-42011.68,-47336.062
1314651.4032710933,-77179.484,-110480.31,-42190.145,-57388.348,-131196.94,-41940.227,-42003.62,-47322.348
1314651.407271089,-77207.08,-110504.16,-42213.785,-57407.51,-131213.06,-41958.05,-42023.887,-47329.918
1314651.411271085,-77231.0,-110521.9,-42234.703,-57425.906,-131225.88,-41976.81,-42044.92,-47344.117
1314651.4152710808,-77211.71,-110506.06,-42222.82,-57415.203,-131218.06,-41969.77,-42035.402,-47338.055
1314651.4192710768,-77180.79,-110476.69,-42193.156,-57388.797,-131196.38,-41945.152,-42008.504,-47311.363
1314651.4232710726,-77173.055,-110463.83,-42185.1,-57381.473,-131182.9,-41939.453,-42009.523,-47338.016
1314651.4272710683,-77192.836,-110478.36,-42209.11,-57401.367,-131200.23,-41959.676,-42038.37,-47390.992
1314651.4312710643,-77218.06,-110498.91,-42229.332,-57421.227,-131217.61,-41975.016,-42055.625,-47393.84
1314651.43527106,-77194.055,-110482.55,-42215.375,-57411.176,-131207.61,-41967.082,-42048.18,-47375.773
1314651.439271056,-77164.39,-110451.99,-42183.72,-57386.598,-131182.78,-41946.492,-42028.85,-47349.53
1314651.4432710519,-77159.51,-110440.96,-42176.72,-57379.19,-131175.38,-41941.734,-42027.223,-47352.297
1314651.4472710479,-77171.39,-110450.69,-42198.773,-57397.992,-131192.52,-41963.582,-42056.52,-47382.49
1314651.4512710436,-77187.664,-110469.93,-42219.727,-57418.99,-131216.64,-41983.24,-42080.363,-47411.094
1314651.4552710396,-77170.414,-110452.44,-42203.453,-57407.715,-131207.84,-41973.145,-42068.523,-47399.7
1314651.4592710354,-77133.14,-110414.39,-42171.55,-57379.19,-131182.3,-41951.133,-42045.25,-47371.38
1314651.4632710312,-77122.805,-110400.48,-42168.863,-57372.438,-131172.48,-41944.824,-42042.48,-47367.637
1314651.4672710272,-77147.46,-110419.15,-42192.914,-57391.6,-131187.22,-41965.375,-42069.742,-47399.58
1314651.471271023,-77146.94,-110422.0,-42204.387,-57405.56,-131200.77,-41987.793,-42097.574,-47428.957
1314651.475271019,-77110.15,-110390.14,-42184.164,-57392.824,-131187.78,-41979.332,-42088.22,-47413.37
1314651.4792710147,-77069.055,-110352.95,-42151.938,-57365.887,-131163.3,-41954.1,-42058.27,-47370.445
1314651.4832710107,-77056.64,-110335.164,-42145.145,-57357.18,-131156.5,-41950.887,-42056.56,-47362.918
1314651.4872710065,-77081.14,-110351.12,-42169.56,-57376.223,-131175.62,-41972.74,-42086.344,-47406.58
1314651.4912710025,-77087.445,-110356.41,-42184.652,-57391.36,-131188.31,-41993.367,-42114.383,-47458.742
1314651.4952709982,-77064.25,-110333.54,-42166.79,-57380.25,-131176.84,-41987.145,-42103.64,-47437.34
1314651.499270994,-77031.74,-110302.695,-42135.582,-57353.19,-131158.45,-41962.73,-42073.445,-47386.355
1314651.50327099,-77027.06,-110295.74,-42130.86,-57345.625,-131155.23,-41955.934,-42071.25,-47385.824
1314651.5072709857,-77045.984,-110305.016,-42156.74,-57365.887,-131165.2,-41976.605,-42102.54,-47428.67
1314651.5112709817,-77059.57,-110317.8,-42175.62,-57382.895,-131178.47,-41996.707,-42127.81,-47457.44
1314651.5152709775,-77057.5,-110314.3,-42164.715,-57373.7,-131174.69,-41987.875,-42115.723,-47439.94
1314651.5192709735,-77029.91,-110281.21,-42135.742,-57348.758,-131154.55,-41965.535,-42087.117,-47390.992
1314651.5232709693,-77012.945,-110259.41,-42131.797,-57341.39,-131143.19,-41961.63,-42085.207,-47385.664
1314651.5272709653,-77046.35,-110287.97,-42161.62,-57365.48,-131163.17,-41982.75,-42115.316,-47430.91
1314651.531270961,-77075.766,-110314.09,-42182.09,-57386.56,-131182.42,-42000.164,-42137.125,-47458.336
1314651.5352709568,-77064.984,-110302.58,-42167.36,-57377.08,-131176.92,-41991.336,-42126.508,-47443.81
1314651.5392709528,-77023.44,-110268.31,-42137.004,-57349.082,-131156.45,-41968.344,-42102.62,-47415.45
1314651.5432709486,-77019.62,-110264.77,-42133.016,-57341.555,-131152.88,-41964.438,-42102.05,-47411.094
1314651.5472709446,-77054.28,-110290.61,-42161.746,-57363.203,-131171.72,-41986.94,-42129.477,-47436.08
1314651.5512709403,-77074.055,-110304.81,-42181.64,-57380.82,-131187.02,-42006.594,-42152.75,-47473.31
1314651.5552709363,-77055.26,-110285.41,-42165.445,-57368.41,-131170.86,-41995.523,-42139.242,-47453.86
1314651.559270932,-77028.16,-110255.3,-42134.645,-57342.41,-131140.7,-41969.523,-42109.54,-47418.05
1314651.563270928,-77025.11,-110250.49,-42130.332,-57336.387,-131138.8,-41965.21,-42108.645,-47409.344
1314651.5672709239,-77056.234,-110276.86,-42155.68,-57359.5,-131167.97,-41987.754,-42138.59,-47437.785
1314651.5712709196,-77078.53,-110296.31,-42176.15,-57378.258,-131187.06,-42005.21,-42160.605,-47473.188
1314651.5752709156,-77066.29,-110283.41,-42159.832,-57368.652,-131177.2,-41993.98,-42143.23,-47448.773
1314651.5792709114,-77034.95,-110247.03,-42129.926,-57341.637,-131148.56,-41968.875,-42110.68,-47399.742
1314651.5832709074,-77027.1,-110229.91,-42126.1,-57334.84,-131136.64,-41966.473,-42107.707,-47400.676
1314651.5872709032,-77054.08,-110252.16,-42152.996,-57358.24,-131158.4,-41988.688,-42134.93,-47436.24
1314651.5912708992,-77083.3,-110280.6,-42174.97,-57377.81,-131179.69,-42002.2,-42152.71,-47450.848
1314651.595270895,-77081.055,-110275.68,-42162.965,-57368.45,-131173.34,-41989.098,-42134.277,-47426.637
1314651.599270891,-77054.41,-110249.27,-42136.07,-57343.67,-131149.5,-41966.434,-42108.44,-47397.098
1314651.6032708867,-77046.8,-110237.96,-42131.55,-57335.695,-131144.05,-41963.867,-42111.043,-47397.016
1314651.6072708827,-77081.87,-110270.51,-42159.668,-57360.07,-131169.44,-41985.637,-42139.85,-47444.258
1314651.6112708785,-77108.32,-110296.8,-42178.426,-57380.656,-131188.28,-42002.24,-42157.023,-47467.0
1314651.6152708742,-77089.73,-110278.89,-42159.426,-57368.246,-131180.27,-41992.758,-42143.23,-47442.305
1314651.6192708702,-77063.56,-110248.05,-42134.93,-57342.773,-131156.9,-41971.19,-42120.81,-47421.387
1314651.623270866,-77073.53,-110249.44,-42136.68,-57340.66,-131149.78,-41967.203,-42122.316,-47422.16
1314651.627270862,-77103.31,-110269.734,-42161.418,-57362.51,-131167.4,-41987.55,-42146.242,-47444.094
1314651.6312708578,-77126.18,-110291.305,-42180.664,-57382.855,-131187.9,-42007.324,-42168.457,-47476.605
1314651.6352708538,-77113.81,-110278.08,-42167.36,-57371.176,-131178.39,-41996.91,-42155.19,-47457.97
1314651.6392708495,-77084.8,-110245.734,-42139.69,-57343.547,-131157.77,-41973.105,-42127.93,-47422.773
1314651.6432708455,-77083.62,-110242.76,-42137.82,-57340.457,-131156.98,-41971.316,-42128.785,-47428.266
1314651.6472708413,-77114.51,-110267.58,-42164.88,-57364.87,-131178.27,-41992.555,-42154.094,-47456.055
1314651.651270837,-77135.83,-110288.05,-42181.316,-57383.344,-131192.47,-42007.773,-42171.754,-47475.953
1314651.655270833,-77124.11,-110276.78,-42166.79,-57371.504,-131179.89,-41995.32,-42155.07,-47455.28
1314651.6592708288,-77103.48,-110255.21,-42141.93,-57346.113,-131157.92,-41970.5,-42122.64,-47413.496
1314651.6632708248,-77101.484,-110246.95,-42136.23,-57339.113,-131154.75,-41966.434,-42117.72,-47406.25
1314651.6672708206,-77121.664,-110258.71,-42159.06,-57359.05,-131169.89,-41989.664,-42145.062,-47438.723
1314651.6712708166,-77135.87,-110274.58,-42174.195,-57375.855,-131182.14,-42007.12,-42163.656,-47456.137
1314651.6752708124,-77121.55,-110263.836,-42159.71,-57364.42,-131171.92,-41994.1,-42145.957,-47429.973
1314651.6792708084,-77098.06,-110239.914,-42132.45,-57340.984,-131154.8,-41967.938,-42116.58,-47401.734
1314651.6832708041,-77102.17,-110241.78,-42133.426,-57339.684,-131157.88,-41963.016,-42116.54,-47412.598
1314651.6872708,-77134.766,-110262.13,-42164.43,-57362.754,-131176.52,-41982.75,-42142.09,-47436.934
1314651.691270796,-77159.18,-110276.94,-42185.06,-57380.09,-131189.53,-42001.18,-42163.902,-47455.49
1314651.6952707916,-77138.47,-110264.81,-42168.01,-57365.44,-131176.23,-41991.414,-42156.863,-47454.266
1314651.6992707876,-77109.54,-110236.74,-42139.69,-57341.555,-131155.11,-41968.1,-42131.105,-47429.12
1314651.7032707834,-77116.74,-110236.49,-42141.805,-57339.844,-131149.34,-41964.76,-42130.168,-47441.652
1314651.7072707794,-77153.73,-110269.21,-42171.348,-57364.465,-131173.22,-41983.6,-42151.367,-47458.945
1314651.7112707752,-77168.055,-110280.03,-42187.867,-57381.633,-131183.84,-41997.926,-42163.94,-47462.363
1314651.7152707712,-77148.89,-110261.56,-42169.312,-57368.41,-131175.1,-41987.55,-42149.293,-47455.0
1314651.719270767,-77119.875,-110234.375,-42142.215,-57341.434,-131155.08,-41964.97,-42126.14,-47427.004
1314651.7232707627,-77131.8,-110242.31,-42144.043,-57338.098,-131153.4,-41961.832,-42125.0,-47423.79
1314651.7272707587,-77157.92,-110264.734,-42169.19,-57360.68,-131172.05,-41985.35,-42154.34,-47455.49
1314651.7312707545,-77173.664,-110283.98,-42187.746,-57380.332,-131187.22,-42003.664,-42174.03,-47469.24
1314651.7352707505,-77164.72,-110274.74,-42174.805,-57371.055,-131176.97,-41991.414,-42157.43,-47445.312
1314651.7392707462,-77145.47,-110251.71,-42148.48,-57345.91,-131154.47,-41965.496,-42126.465,-47412.68
1314651.7432707422,-77135.91,-110243.164,-42141.195,-57339.52,-131145.06,-41963.34,-42127.848,-47424.848
1314651.747270738,-77158.04,-110258.47,-42165.895,-57361.33,-131158.33,-41986.29,-42152.184,-47454.227
1314651.751270734,-77185.305,-110277.914,-42187.785,-57379.03,-131172.94,-42001.18,-42164.39,-47460.574
1314651.7552707298,-77170.414,-110263.23,-42170.94,-57366.418,-131163.73,-41987.957,-42142.945,-47432.945
1314651.7592707255,-77140.55,-110234.87,-42142.496,-57341.39,-131137.05,-41963.38,-42113.324,-47396.08
1314651.7632707215,-77131.67,-110228.27,-42138.062,-57336.305,-131127.97,-41962.16,-42114.91,-47402.508
1314651.7672707173,-77166.79,-110260.87,-42163.656,-57358.48,-131160.73,-41980.594,-42134.402,-47420.656
1314651.7712707133,-77192.43,-110287.56,-42182.008,-57377.035,-131183.97,-41996.297,-42149.496,-47428.266
1314651.775270709,-77171.47,-110271.57,-42163.98,-57365.234,-131172.33,-41985.637,-42138.31,-47416.75
1314651.779270705,-77144.45,-110238.734,-42136.11,-57340.54,-131147.42,-41962.363,-42114.22,-47401.246
1314651.7832707008,-77154.83,-110238.0,-42138.266,-57340.375,-131142.55,-41960.734,-42116.54,-47408.53
1314651.7872706968,-77191.04,-110272.38,-42167.93,-57364.137,-131162.36,-41981.57,-42145.914,-47444.664
1314651.7912706926,-77210.33,-110290.9,-42186.77,-57381.594,-131177.53,-41997.316,-42163.902,-47469.117
1314651.7952706884,-77196.336,-110272.18,-42171.59,-57367.84,-131160.16,-41983.562,-42145.1,-47438.477
1314651.7992706844,-77170.17,-110242.72,-42145.67,-57341.84,-131132.4,-41959.516,-42117.35,-47402.67
1314651.8032706801,-77166.47,-110235.35,-42143.23,-57337.77,-131125.38,-41956.504,-42121.46,-47414.227
1314651.8072706761,-77200.195,-110264.53,-42171.957,-57362.1,-131146.56,-41978.516,-42149.414,-47444.01
1314651.811270672,-77225.016,-110290.04,-42191.285,-57382.367,-131167.56,-41995.484,-42166.832,-47461.59
1314651.815270668,-77206.87,-110276.33,-42172.49,-57371.34,-131158.33,-41983.195,-42147.137,-47443.32
1314651.8192706637,-77181.27,-110251.305,-42141.805,-57345.055,-131132.08,-41957.03,-42111.125,-47397.34
1314651.8232706597,-77189.82,-110254.52,-42142.457,-57343.06,-131127.89,-41953.777,-42107.3,-47394.98
1314651.8272706554,-77210.77,-110270.875,-42169.273,-57366.008,-131145.47,-41976.48,-42136.72,-47432.902
1314651.8312706512,-77227.664,-110291.836,-42188.07,-57383.26,-131163.02,-41991.254,-42154.703,-47458.742
1314651.8352706472,-77222.17,-110286.75,-42173.016,-57373.17,-131156.66,-41975.465,-42135.297,-47442.02
1314651.839270643,-77199.18,-110264.445,-42145.59,-57348.918,-131139.28,-41950.562,-42107.34,-47406.496
1314651.843270639,-77201.91,-110264.164,-42143.434,-57345.5,-131137.98,-41949.707,-42112.67,-47409.547
1314651.8472706347,-77226.93,-110284.14,-42170.086,-57366.7,-131156.98,-41976.117,-42145.793,-47444.703
1314651.8512706307,-77247.4,-110303.914,-42190.27,-57385.867,-131177.53,-41993.695,-42167.24,-47463.625
1314651.8552706265,-77238.85,-110296.06,-42176.473,-57374.96,-131171.55,-41982.06,-42155.19,-47448.773
1314651.8592706225,-77211.71,-110269.125,-42148.926,-57349.773,-131152.42,-41960.53,-42131.39,-47421.55
1314651.8632706183,-77213.34,-110267.58,-42151.367,-57348.51,-131149.78,-41959.434,-42135.99,-47429.12
1314651.867270614,-77243.414,-110296.39,-42177.33,-57373.332,-131173.5,-41979.492,-42162.56,-47466.84
1314651.87127061,-77262.21,-110314.78,-42193.156,-57387.74,-131189.5,-41993.207,-42178.387,-47476.36
1314651.8752706058,-77239.016,-110290.61,-42174.316,-57369.59,-131169.31,-41981.082,-42163.574,-47464.152
1314651.8792706018,-77205.57,-110258.914,-42142.54,-57342.695,-131144.81,-41958.7,-42137.98,-47431.805
1314651.8832705976,-77215.01,-110266.445,-42144.613,-57341.516,-131144.66,-41958.457,-42134.36,-47416.26
1314651.8872705936,-77255.86,-110303.914,-42175.293,-57367.72,-131172.73,-41981.445,-42157.84,-47450.24
1314651.8912705893,-77270.266,-110318.04,-42190.066,-57383.63,-131185.31,-41999.31,-42175.58,-47472.332
1314651.8952705853,-77247.27,-110296.39,-42172.934,-57368.652,-131167.61,-41988.973,-42155.355,-47447.918
1314651.899270581,-77225.1,-110271.85,-42146.527,-57345.46,-131148.97,-41963.582,-42121.22,-47408.043
1314651.9032705768,-77233.97,-110276.086,-42151.855,-57344.523,-131150.31,-41960.086,-42116.293,-47405.805
1314651.9072705728,-77265.625,-110298.75,-42181.277,-57368.53,-131172.58,-41979.168,-42141.44,-47436.89
1314651.9112705686,-77281.58,-110314.01,-42196.535,-57385.336,-131188.2,-41993.695,-42160.44,-47454.633
1314651.9152705646,-77262.86,-110300.22,-42176.395,-57370.812,-131176.84,-41980.47,-42146.85,-47446.535
1314651.9192705604,-77237.63,-110273.97,-42149.902,-57346.355,-131154.62,-41958.17,-42124.188,-47438.355
1314651.9232705564,-77244.914,-110274.74,-42154.91,-57345.543,-131151.58,-41958.62,-42125.0,-47439.332
1314651.9272705521,-77281.375,-110303.02,-42184.734,-57369.59,-131169.89,-41980.31,-42150.15,-47459.027
1314651.9312705481,-77293.83,-110316.734,-42200.36,-57385.46,-131185.47,-41996.746,-42167.4,-47475.344
1314651.935270544,-77272.42,-110298.34,-42180.867,-57372.03,-131169.92,-41985.35,-42154.867,-47461.426
1314651.9392705397,-77254.195,-110277.34,-42156.902,-57349.61,-131150.19,-41963.543,-42130.047,-47434.164
1314651.9432705357,-77262.86,-110280.93,-42158.367,-57349.49,-131153.36,-41963.297,-42129.68,-47437.785
1314651.9472705314,-77286.336,-110299.24,-42180.707,-57370.65,-131173.8,-41984.293,-42158.61,-47464.4
1314651.9512705274,-77309.41,-110320.11,-42196.332,-57387.086,-131189.33,-41998.414,-42178.1,-47487.793
1314651.9552705232,-77291.71,-110305.18,-42178.223,-57373.535,-131174.28,-41985.84,-42163.414,-47470.46
1314651.9592705192,-77267.664,-110281.05,-42153.035,-57350.02,-131152.62,-41966.188,-42139.977,-47438.926
1314651.963270515,-77272.914,-110279.26,-42156.78,-57349.164,-131150.06,-41967.855,-42143.11,-47439.047
1314651.967270511,-77295.45,-110298.75,-42182.78,-57368.207,-131169.6,-41991.984,-42169.477,-47470.215
1314651.9712705067,-77316.41,-110318.484,-42198.57,-57384.605,-131184.25,-42006.797,-42184.9,-47499.84
1314651.9752705025,-77300.3,-110306.234,-42180.094,-57370.77,-131171.75,-41992.72,-42165.082,-47475.914
1314651.9792704985,-77276.2,-110285.52,-42153.484,-57348.188,-131152.72,-41971.07,-42138.227,-47444.215
1314651.9832704943,-77283.2,-110283.49,-42155.844,-57347.293,-131155.84,-41968.914,-42134.402,-47433.188
1314651.9872704903,-77307.984,-110303.76,-42181.844,-57369.266,-131171.06,-41990.152,-42156.94,-47457.195
1314651.991270486,-77321.9,-110318.24,-42198.324,-57383.508,-131179.08,-42006.145,-42171.184,-47483.48
1314651.995270482,-77307.62,-110302.58,-42178.996,-57367.312,-131168.88,-41990.64,-42149.984,-47455.12
