timestamp,marker
881555.7575153977,Paradigm_Start_Task-Switching Paradigm_Subject_21
881555.7736579975,TaskSwitch_NonTarget_High/Low_Subject_21
881557.4795975757,TaskSwitch_NonTarget_Even/Odd_Subject_21
881559.1903914537,TaskSwitch_Target_Even/Odd_Subject_21
881559.9231402444,Correct_Response_Subject_21
881560.9052351317,TaskSwitch_NonTarget_Even/Odd_Subject_21
881562.60660101,TaskSwitch_Target_High/Low_Subject_21
881563.457514999,Correct_Response_Subject_21
881564.317819388,TaskSwitch_NonTarget_Even/Odd_Subject_21
881566.0232277662,TaskSwitch_Target_High/Low_Subject_21
881566.6737968578,Correct_Response_Subject_21
881567.7360058442,TaskSwitch_Target_High/Low_Subject_21
881568.84026723,Missed_Target_Subject_21
881568.8573494299,Missed_Target_Subject_21
881568.8740986296,Missed_Target_Subject_21
881568.8913033294,Missed_Target_Subject_21
881568.9087299291,Missed_Target_Subject_21
881568.925311529,Missed_Target_Subject_21
881568.9420124288,Missed_Target_Subject_21
881568.9585561285,Missed_Target_Subject_21
881568.9757801284,Missed_Target_Subject_21
881568.9915514281,Missed_Target_Subject_21
881569.0084951279,Missed_Target_Subject_21
881569.0242808277,Missed_Target_Subject_21
881569.0402267275,Missed_Target_Subject_21
881569.0578979272,Missed_Target_Subject_21
881569.073252327,Missed_Target_Subject_21
881569.0897808268,Missed_Target_Subject_21
881569.1057928267,Missed_Target_Subject_21
881569.1230014265,Missed_Target_Subject_21
881569.1390904263,Missed_Target_Subject_21
881569.156272926,Missed_Target_Subject_21
881569.1734493257,Missed_Target_Subject_21
881569.1907964256,Missed_Target_Subject_21
881569.2087398253,Missed_Target_Subject_21
881569.2242448251,Missed_Target_Subject_21
881569.241113825,Missed_Target_Subject_21
881569.2583543247,Missed_Target_Subject_21
881569.2746725245,Missed_Target_Subject_21
881569.2912752243,Missed_Target_Subject_21
881569.308026524,Missed_Target_Subject_21
881569.3240004239,Missed_Target_Subject_21
881569.3418864236,Missed_Target_Subject_21
881569.3585256235,Missed_Target_Subject_21
881569.3746024232,Missed_Target_Subject_21
881569.3912520229,Missed_Target_Subject_21
881569.4070957227,Missed_Target_Subject_21
881569.4402477224,TaskSwitch_Target_Even/Odd_Subject_21
881570.5522538081,Missed_Target_Subject_21
881570.5688375079,Missed_Target_Subject_21
881570.5849658077,Missed_Target_Subject_21
881570.5997683075,Missed_Target_Subject_21
881570.6174325072,Missed_Target_Subject_21
881570.633020107,Missed_Target_Subject_21
881570.6499953069,Missed_Target_Subject_21
881570.6667247067,Correct_Response_Subject_21
881571.1445859005,TaskSwitch_NonTarget_High/Low_Subject_21
881571.8591309913,False_Alarm_Subject_21
881572.8553755786,TaskSwitch_NonTarget_High/Low_Subject_21
881574.5648879566,TaskSwitch_NonTarget_High/Low_Subject_21
881576.2728231348,TaskSwitch_Target_Even/Odd_Subject_21
881576.8587314272,Correct_Response_Subject_21
881577.9877763129,TaskSwitch_Target_Even/Odd_Subject_21
881578.8579278017,Correct_Response_Subject_21
881579.690623391,TaskSwitch_Target_Even/Odd_Subject_21
881580.4406074814,Correct_Response_Subject_21
881581.4054693689,TaskSwitch_Target_High/Low_Subject_21
881581.9974469614,Correct_Response_Subject_21
881583.1076029472,TaskSwitch_NonTarget_Even/Odd_Subject_21
881584.8239084252,TaskSwitch_NonTarget_Even/Odd_Subject_21
881586.5241395034,TaskSwitch_Target_High/Low_Subject_21
881587.1376324955,Correct_Response_Subject_21
881588.2399308814,TaskSwitch_Target_Even/Odd_Subject_21
881588.9895498718,Correct_Response_Subject_21
881589.9400221596,TaskSwitch_Target_Even/Odd_Subject_21
881590.6539222505,Correct_Response_Subject_21
881591.6507056376,TaskSwitch_NonTarget_Even/Odd_Subject_21
881593.3650793157,TaskSwitch_NonTarget_High/Low_Subject_21
881594.0263328073,False_Alarm_Subject_21
881595.0697964939,TaskSwitch_NonTarget_Even/Odd_Subject_21
881596.772617972,TaskSwitch_Target_Even/Odd_Subject_21
881597.390945364,Correct_Response_Subject_21
881598.4750862502,TaskSwitch_NonTarget_High/Low_Subject_21
881600.1905964282,TaskSwitch_NonTarget_High/Low_Subject_21
881600.7712511207,False_Alarm_Subject_21
881601.8977626063,TaskSwitch_NonTarget_Even/Odd_Subject_21
881603.3853280873,False_Alarm_Subject_21
881603.6007269846,TaskSwitch_NonTarget_Even/Odd_Subject_21
881604.0510003788,False_Alarm_Subject_21
881605.3052357626,TaskSwitch_NonTarget_High/Low_Subject_21
881607.0186306407,TaskSwitch_NonTarget_High/Low_Subject_21
881607.8791346297,False_Alarm_Subject_21
881608.7223964189,TaskSwitch_Target_High/Low_Subject_21
881609.8269174047,Missed_Target_Subject_21
881609.8429431044,Missed_Target_Subject_21
881609.8579752044,Missed_Target_Subject_21
881609.8759494041,Correct_Response_Subject_21
881610.424405497,TaskSwitch_Target_High/Low_Subject_21
881611.0072439896,Correct_Response_Subject_21
881612.1236730752,TaskSwitch_Target_High/Low_Subject_21
881612.6210733688,Correct_Response_Subject_21
881613.8407935533,TaskSwitch_NonTarget_Even/Odd_Subject_21
881615.5541008314,TaskSwitch_NonTarget_Even/Odd_Subject_21
881616.5382843186,False_Alarm_Subject_21
881617.2554500095,TaskSwitch_Target_Even/Odd_Subject_21
881617.7978080026,Correct_Response_Subject_21
881618.9712417874,TaskSwitch_NonTarget_Even/Odd_Subject_21
881620.6885576654,TaskSwitch_NonTarget_High/Low_Subject_21
881622.4017993435,TaskSwitch_NonTarget_Even/Odd_Subject_21
881622.9342167367,False_Alarm_Subject_21
881624.1142715216,TaskSwitch_NonTarget_High/Low_Subject_21
881625.8260288996,TaskSwitch_Target_Even/Odd_Subject_21
881626.4384468917,Correct_Response_Subject_21
881627.5399409777,TaskSwitch_Target_Even/Odd_Subject_21
881628.1219237703,Correct_Response_Subject_21
881629.2545174557,TaskSwitch_NonTarget_Even/Odd_Subject_21
881630.956820034,TaskSwitch_NonTarget_Even/Odd_Subject_21
881632.674056512,TaskSwitch_Target_Even/Odd_Subject_21
881633.2388582046,Correct_Response_Subject_21
881634.37791269,TaskSwitch_NonTarget_Even/Odd_Subject_21
881636.0888347682,TaskSwitch_NonTarget_Even/Odd_Subject_21
881637.8038062461,TaskSwitch_NonTarget_Even/Odd_Subject_21
881639.5204556241,TaskSwitch_NonTarget_High/Low_Subject_21
881640.2884899143,False_Alarm_Subject_21
881641.2297058023,TaskSwitch_NonTarget_Even/Odd_Subject_21
881642.9329442803,TaskSwitch_NonTarget_High/Low_Subject_21
881644.6348073586,TaskSwitch_NonTarget_Even/Odd_Subject_21
881646.3382359367,TaskSwitch_Target_Even/Odd_Subject_21
881646.9016062295,Correct_Response_Subject_21
881648.042774215,TaskSwitch_NonTarget_High/Low_Subject_21
881649.7539431929,TaskSwitch_NonTarget_High/Low_Subject_21
881650.2609185864,False_Alarm_Subject_21
881651.4542236711,TaskSwitch_NonTarget_Even/Odd_Subject_21
881653.1539822494,TaskSwitch_NonTarget_High/Low_Subject_21
881654.8547186276,TaskSwitch_NonTarget_Even/Odd_Subject_21
881656.5710957056,TaskSwitch_NonTarget_High/Low_Subject_21
881658.2717792838,TaskSwitch_NonTarget_Even/Odd_Subject_21
881658.880051476,False_Alarm_Subject_21
881659.9740682619,TaskSwitch_NonTarget_High/Low_Subject_21
881661.68769464,TaskSwitch_NonTarget_High/Low_Subject_21
881662.5714561286,False_Alarm_Subject_21
881663.3875570182,TaskSwitch_Target_High/Low_Subject_21
881664.2206372075,Correct_Response_Subject_21
881665.1035505962,TaskSwitch_NonTarget_High/Low_Subject_21
881665.9384772854,False_Alarm_Subject_21
881666.8032974744,TaskSwitch_NonTarget_High/Low_Subject_21
881667.3830555669,False_Alarm_Subject_21
881668.5121315526,TaskSwitch_Target_Even/Odd_Subject_21
881669.103922545,Correct_Response_Subject_21
881670.2196356306,TaskSwitch_NonTarget_Even/Odd_Subject_21
881671.9208388089,TaskSwitch_NonTarget_Even/Odd_Subject_21
881673.6287019869,TaskSwitch_NonTarget_Even/Odd_Subject_21
881674.092031881,False_Alarm_Subject_21
881675.338342665,TaskSwitch_NonTarget_Even/Odd_Subject_21
881677.0511133431,TaskSwitch_NonTarget_High/Low_Subject_21
881678.7537924212,TaskSwitch_NonTarget_Even/Odd_Subject_21
881680.4698769993,TaskSwitch_NonTarget_Even/Odd_Subject_21
881681.1543323905,False_Alarm_Subject_21
881682.1707088775,TaskSwitch_NonTarget_High/Low_Subject_21
881683.8724625556,TaskSwitch_Target_High/Low_Subject_21
881684.5555552469,Correct_Response_Subject_21
881685.5871118336,TaskSwitch_Target_Even/Odd_Subject_21
881686.4803731223,Correct_Response_Subject_21
881687.2874484119,TaskSwitch_Target_Even/Odd_Subject_21
881687.8546143046,Correct_Response_Subject_21
881688.98998459,TaskSwitch_NonTarget_High/Low_Subject_21
881690.7019794681,TaskSwitch_NonTarget_Even/Odd_Subject_21
881691.9699672519,False_Alarm_Subject_21
881692.4040755462,TaskSwitch_Target_Even/Odd_Subject_21
881693.4877814323,Correct_Response_Subject_21
881694.1201578242,TaskSwitch_NonTarget_Even/Odd_Subject_21
881695.8203399024,TaskSwitch_NonTarget_High/Low_Subject_21
881696.8544390892,False_Alarm_Subject_21
881697.5253750806,TaskSwitch_Target_High/Low_Subject_21
881698.2067101719,Correct_Response_Subject_21
881699.2379135587,TaskSwitch_NonTarget_High/Low_Subject_21
881700.9516976367,TaskSwitch_NonTarget_Even/Odd_Subject_21
881702.6582135148,TaskSwitch_NonTarget_High/Low_Subject_21
881704.3646368929,TaskSwitch_NonTarget_High/Low_Subject_21
881704.9748972851,False_Alarm_Subject_21
881706.074749571,TaskSwitch_NonTarget_Even/Odd_Subject_21
881707.7862216491,TaskSwitch_NonTarget_High/Low_Subject_21
881709.4898122273,TaskSwitch_Target_Even/Odd_Subject_21
881710.1030731194,Correct_Response_Subject_21
881711.1980809054,TaskSwitch_NonTarget_High/Low_Subject_21
881712.9027738835,TaskSwitch_Target_High/Low_Subject_21
881713.4042322771,Correct_Response_Subject_21
881714.6065661617,TaskSwitch_NonTarget_Even/Odd_Subject_21
881715.988264744,False_Alarm_Subject_21
881716.3199385398,TaskSwitch_NonTarget_Even/Odd_Subject_21
881717.0539444303,False_Alarm_Subject_21
881718.0364253178,TaskSwitch_NonTarget_Even/Odd_Subject_21
881718.6529022098,False_Alarm_Subject_21
881719.737468796,TaskSwitch_NonTarget_High/Low_Subject_21
881720.4890250863,False_Alarm_Subject_21
881721.450826974,TaskSwitch_NonTarget_Even/Odd_Subject_21
881722.1447716651,False_Alarm_Subject_21
881723.1560315521,TaskSwitch_NonTarget_High/Low_Subject_21
881723.8197411436,False_Alarm_Subject_21
881724.8694383302,TaskSwitch_NonTarget_High/Low_Subject_21
881726.5761352082,Paradigm_End_Task-Switching Paradigm_Subject_21
