timestamp,Fp1,Fp2,F3,Fz,F4,Cz,Pz,Oz
1226960.0150295007,-103671.516,-120530.89,-27031.7,-26977.5,-36322.184,-30630.25,-22001.873,-19002.4
1226960.0190294979,-103665.81,-120530.32,-27031.738,-26977.947,-36315.555,-30626.303,-22000.0,-19014.12
1226960.023029495,-103688.27,-120550.26,-27033.855,-26987.549,-36315.145,-30625.977,-22024.455,-19056.844
1226960.0270294922,-103693.484,-120550.91,-27035.605,-26990.805,-36321.695,-30631.064,-22039.268,-19071.736
1226960.0310294894,-103668.17,-120526.21,-27034.262,-26985.434,-36325.195,-30636.842,-22025.39,-19025.31
1226960.0350294865,-103640.875,-120500.94,-27032.838,-26980.957,-36323.203,-30638.795,-22005.9,-18985.88
1226960.0390294837,-103637.66,-120494.875,-27035.85,-26980.633,-36318.44,-30635.133,-22003.135,-18994.67
1226960.0430294808,-103653.37,-120509.36,-27039.145,-26988.607,-36325.24,-30631.797,-22023.56,-19037.354
1226960.047029478,-103662.16,-120509.56,-27040.691,-26995.117,-36330.12,-30635.498,-22037.273,-19058.025
1226960.0510294752,-103632.98,-120477.22,-27039.307,-26990.031,-36327.477,-30643.678,-22026.652,-19033.244
1226960.0550294723,-103589.93,-120443.41,-27036.377,-26981.121,-36321.453,-30648.479,-22006.877,-18993.367
1226960.0590294695,-103584.805,-120437.87,-27036.418,-26981.406,-36315.227,-30645.713,-22008.627,-18999.105
1226960.0630294667,-103598.72,-120447.06,-27039.145,-26988.975,-36318.766,-30642.62,-22035.4,-19051.96
1226960.0670294638,-103600.67,-120443.41,-27041.953,-26992.84,-36320.027,-30643.84,-22051.19,-19064.941
1226960.071029461,-103571.82,-120418.016,-27041.748,-26987.06,-36323.406,-30649.252,-22037.395,-19029.217
1226960.0750294582,-103521.89,-120374.555,-27035.809,-26976.97,-36315.31,-30651.367,-22014.404,-19003.621
1226960.0790294553,-103508.47,-120358.16,-27035.197,-26976.97,-36306.64,-30646.12,-22010.783,-19010.213
1226960.0830294525,-103528.28,-120372.16,-27037.03,-26984.416,-36310.06,-30640.057,-22023.438,-19027.14
1226960.0870294496,-103527.51,-120372.93,-27039.186,-26989.299,-36313.883,-30641.398,-22035.156,-19032.309
1226960.0910294466,-103501.34,-120346.73,-27041.465,-26985.596,-36317.02,-30650.31,-22028.402,-19020.264
1226960.0950294437,-103472.13,-120319.625,-27041.383,-26978.11,-36313.316,-30655.273,-22010.295,-18998.494
1226960.099029441,-103473.88,-120324.266,-27042.48,-26980.062,-36307.984,-30649.984,-22006.674,-18990.805
1226960.103029438,-103501.02,-120342.37,-27045.29,-26987.549,-36309.043,-30644.531,-22027.955,-19031.658
1226960.1070294352,-103512.54,-120346.56,-27047.363,-26991.943,-36316.57,-30647.87,-22046.104,-19064.576
1226960.1110294324,-103491.74,-120324.18,-27048.545,-26985.434,-36319.215,-30653.443,-22033.896,-19021.607
1226960.1150294296,-103469.57,-120305.55,-27049.113,-26978.395,-36312.055,-30652.914,-22006.715,-18973.023
1226960.1190294267,-103478.56,-120313.97,-27052.49,-26981.283,-36307.332,-30646.404,-22001.791,-18975.668
1226960.1230294239,-103509.61,-120341.92,-27055.217,-26990.723,-36310.75,-30638.877,-22018.393,-19007.854
1226960.127029421,-103532.76,-120362.516,-27060.832,-26996.787,-36313.113,-30635.986,-22027.1,-19009.604
1226960.1310294182,-103517.3,-120352.18,-27063.232,-26991.008,-36315.31,-30641.318,-22011.475,-18968.385
1226960.1350294154,-103494.14,-120335.01,-27062.826,-26984.336,-36315.758,-30642.742,-21989.258,-18953.125
1226960.1390294125,-103501.1,-120345.055,-27066.53,-26987.184,-36312.543,-30636.475,-21985.23,-18967.53
1226960.1430294097,-103542.93,-120381.516,-27077.068,-26996.826,-36316.773,-30633.383,-22003.662,-19000.691
1226960.1470294069,-103564.54,-120397.71,-27081.951,-27001.75,-36321.535,-30635.54,-22014.527,-19014.648
1226960.151029404,-103546.76,-120381.02,-27085.938,-26996.094,-36319.95,-30639.527,-21999.39,-18981.934
1226960.1550294012,-103528.04,-120369.71,-27085.613,-26988.201,-36317.426,-30640.016,-21975.139,-18941.53
1226960.1590293983,-103541.305,-120384.24,-27090.82,-26991.74,-36315.27,-30636.312,-21970.379,-18940.023
1226960.1630293955,-103572.19,-120408.57,-27096.03,-27001.588,-36317.547,-30631.348,-21988.037,-18966.146
1226960.1670293927,-103586.67,-120417.24,-27097.291,-27005.047,-36322.145,-30632.691,-21998.129,-18980.348
1226960.1710293898,-103569.016,-120398.56,-27097.738,-26998.861,-36323.773,-30636.354,-21981.242,-18949.83
1226960.175029387,-103551.31,-120386.64,-27098.838,-26993.652,-36319.95,-30635.824,-21954.143,-18905.559
1226960.1790293842,-103563.4,-120397.38,-27100.83,-26995.932,-36314.984,-30630.168,-21951.621,-18905.477
1226960.1830293813,-103601.61,-120432.58,-27107.016,-27006.145,-36318.81,-30626.344,-21971.64,-18939.332
1226960.1870293785,-103624.23,-120455.9,-27114.502,-27013.916,-36329.59,-30629.559,-21986.004,-18959.88
1226960.1910293757,-103607.71,-120441.05,-27117.188,-27007.854,-36330.895,-30635.947,-21975.383,-18935.182
1226960.1950293728,-103586.23,-120422.04,-27117.432,-27002.035,-36326.742,-30638.877,-21952.678,-18909.465
1226960.19902937,-103595.34,-120429.69,-27119.834,-27004.68,-36323.895,-30632.406,-21944.5,-18913.777
1226960.2030293671,-103628.586,-120455.65,-27125.652,-27013.062,-36326.62,-30628.662,-21968.994,-18955.852
1226960.2070293643,-103640.914,-120468.266,-27127.97,-27018.596,-36332.684,-30630.656,-21988.81,-18981.08
1226960.2110293615,-103618.86,-120450.97,-27126.344,-27012.656,-36336.875,-30636.639,-21973.633,-18946.086
1226960.2150293586,-103602.38,-120436.0,-27126.018,-27006.592,-36337.973,-30637.777,-21949.139,-18909.383
1226960.2190293558,-103616.5,-120447.02,-27131.633,-27008.506,-36331.746,-30633.3,-21946.25,-18910.768
1226960.223029353,-103644.94,-120472.74,-27136.516,-27017.254,-36334.473,-30630.332,-21966.838,-18943.035
1226960.2270293501,-103660.32,-120482.836,-27139.934,-27022.422,-36343.793,-30630.982,-21974.244,-18952.596
1226960.2310293473,-103641.766,-120463.75,-27139.324,-27019.248,-36347.7,-30636.516,-21959.596,-18915.242
1226960.2350293442,-103620.57,-120449.43,-27138.633,-27013.145,-36342.53,-30635.54,-21936.809,-18891.643
1226960.2390293414,-103630.58,-120459.555,-27141.887,-27014.854,-36338.016,-30629.639,-21932.984,-18891.357
1226960.2430293385,-103660.32,-120485.31,-27145.875,-27024.049,-36337.73,-30627.197,-21946.25,-18891.277
1226960.2470293357,-103674.28,-120492.07,-27149.13,-27027.182,-36340.293,-30631.348,-21957.236,-18905.926
1226960.2510293329,-103651.21,-120473.07,-27149.62,-27019.775,-36343.02,-30640.545,-21952.148,-18921.957
1226960.25502933,-103627.445,-120454.59,-27150.025,-27014.365,-36340.293,-30645.63,-21937.217,-18907.146
1226960.2590293272,-103634.89,-120463.625,-27153.402,-27020.184,-36338.582,-30641.887,-21939.576,-18908.244
1226960.2630293244,-103663.49,-120489.22,-27155.314,-27029.42,-36343.14,-30636.76,-21959.434,-18929.688
1226960.2670293215,-103676.6,-120501.8,-27155.518,-27031.414,-36352.742,-30639.121,-21967.367,-18919.19
1226960.2710293187,-103658.94,-120489.26,-27153.24,-27026.002,-36360.68,-30647.787,-21953.695,-18876.629
1226960.2750293158,-103639.734,-120472.45,-27149.17,-27021.24,-36356.285,-30651.734,-21936.484,-18875.57
1226960.279029313,-103650.68,-120480.836,-27147.705,-27024.496,-36351.766,-30647.137,-21942.139,-18905.477
1226960.2830293102,-103680.586,-120506.15,-27151.45,-27033.936,-36354.25,-30643.148,-21968.873,-18937.459
1226960.2870293073,-103697.67,-120516.69,-27156.291,-27039.55,-36361.574,-30644.654,-21983.725,-18949.871
1226960.2910293045,-103678.555,-120503.99,-27156.455,-27034.344,-36366.66,-30649.984,-21968.547,-18919.354
1226960.2950293017,-103659.55,-120495.08,-27153.89,-27030.396,-36364.664,-30650.27,-21947.715,-18891.969
1226960.2990292988,-103677.164,-120510.625,-27154.176,-27033.936,-36363.566,-30647.217,-21948.895,-18900.799
1226960.303029296,-103707.234,-120534.51,-27154.176,-27040.895,-36368.777,-30644.695,-21969.035,-18935.75
1226960.3070292932,-103720.26,-120542.61,-27152.182,-27044.922,-36373.863,-30648.031,-21979.941,-18960.002
1226960.3110292903,-103696.86,-120527.914,-27151.123,-27038.697,-36375.69,-30654.908,-21965.902,-18932.293
1226960.3150292875,-103673.75,-120510.95,-27149.414,-27033.041,-36368.777,-30657.756,-21946.738,-18906.047
1226960.3190292846,-103684.57,-120521.61,-27149.496,-27035.523,-36364.586,-30650.229,-21948.568,-18920.451
1226960.3230292818,-103718.43,-120554.37,-27152.264,-27046.754,-36372.64,-30645.672,-21971.559,-18955.404
1226960.327029279,-103731.125,-120562.625,-27152.629,-27053.59,-36378.336,-30649.09,-21988.281,-18975.506
1226960.3310292761,-103708.7,-120545.17,-27153.688,-27048.584,-36383.504,-30656.373,-21974.365,-18933.105
1226960.3350292733,-103687.42,-120529.625,-27153.564,-27042.848,-36379.56,-30657.635,-21950.969,-18898.602
1226960.3390292705,-103695.84,-120533.086,-27153.443,-27044.639,-36376.223,-30651.896,-21951.742,-18924.928
1226960.3430292676,-103723.63,-120555.26,-27153.932,-27053.264,-36381.105,-30647.828,-21975.994,-18967.938
1226960.3470292648,-103730.555,-120560.34,-27151.246,-27056.602,-36387.168,-30649.578,-21988.566,-18976.93
1226960.351029262,-103706.51,-120540.37,-27148.398,-27051.19,-36390.625,-30655.762,-21976.28,-18938.07
1226960.355029259,-103683.35,-120519.695,-27143.271,-27045.045,-36384.645,-30655.234,-21954.307,-18908.0
1226960.3590292563,-103689.05,-120528.77,-27139.934,-27047.363,-36382.082,-30650.39,-21957.56,-18928.67
1226960.3630292534,-103717.66,-120559.125,-27138.957,-27055.664,-36387.695,-30647.055,-21979.615,-18970.174
1226960.3670292506,-103729.82,-120572.15,-27132.0,-27059.408,-36392.58,-30648.682,-21991.984,-18981.648
1226960.3710292478,-103712.28,-120554.164,-27127.361,-27054.443,-36394.168,-30652.71,-21978.11,-18942.75
1226960.375029245,-103688.4,-120534.55,-27122.885,-27049.113,-36389.16,-30654.46,-21955.404,-18901.611
1226960.3790292419,-103696.91,-120542.41,-27119.955,-27049.44,-36383.383,-30651.043,-21958.049,-18918.945
1226960.383029239,-103722.3,-120567.34,-27116.049,-27055.664,-36388.59,-30648.643,-21985.434,-18973.186
1226960.3870292362,-103731.98,-120571.74,-27110.027,-27059.49,-36393.68,-30651.205,-22001.1,-18987.63
1226960.3910292333,-103708.83,-120550.91,-27104.086,-27052.654,-36397.055,-30655.355,-21986.207,-18948.527
1226960.3950292305,-103682.46,-120527.23,-27096.924,-27044.678,-36392.496,-30653.932,-21957.764,-18902.426
1226960.3990292277,-103684.66,-120529.87,-27089.193,-27045.533,-36387.29,-30648.682,-21956.299,-18914.145
1226960.4030292248,-103708.3,-120548.47,-27082.846,-27054.443,-36392.945,-30641.236,-21975.465,-18952.557
1226960.407029222,-103717.29,-120547.125,-27077.434,-27058.758,-36398.277,-30640.586,-21982.3,-18958.984
1226960.4110292192,-103694.625,-120524.945,-27073.73,-27051.88,-36401.816,-30646.607,-21969.688,-18921.143
1226960.4150292163,-103674.16,-120507.45,-27071.086,-27044.842,-36397.176,-30648.926,-21949.342,-18883.627
1226960.4190292135,-103681.93,-120515.55,-27069.092,-27045.94,-36394.86,-30644.37,-21952.475,-18907.512
1226960.4230292107,-103709.72,-120536.95,-27065.838,-27054.607,-36398.03,-30639.893,-21972.373,-18948.121
1226960.4270292078,-103718.875,-120543.5,-27063.518,-27058.35,-36404.664,-30640.83,-21980.998,-18948.527
1226960.431029205,-103698.445,-120525.03,-27060.385,-27052.246,-36402.957,-30646.607,-21966.025,-18902.223
1226960.4350292021,-103675.58,-120502.0,-27057.578,-27044.516,-36395.426,-30646.648,-21939.453,-18867.514
1226960.4390291993,-103682.87,-120509.61,-27054.281,-27046.021,-36391.44,-30636.475,-21935.832,-18879.924
1226960.4430291965,-103710.984,-120531.17,-27052.654,-27052.857,-36395.754,-30632.08,-21958.252,-18920.654
1226960.4470291936,-103720.55,-120536.586,-27054.443,-27056.031,-36400.105,-30636.15,-21974.936,-18936.932
1226960.4510291908,-103701.74,-120519.49,-27057.334,-27052.207,-36402.914,-30642.822,-21963.258,-18892.537
1226960.455029188,-103676.03,-120496.09,-27054.688,-27044.516,-36396.363,-30642.375,-21935.629,-18844.89
1226960.4590291851,-103680.09,-120496.586,-27052.084,-27045.86,-36389.363,-30635.824,-21933.676,-18867.555
1226960.4630291823,-103710.734,-120517.42,-27054.281,-27054.12,-36392.17,-30632.285,-21959.434,-18924.031
1226960.4670291794,-103717.695,-120521.77,-27053.387,-27058.27,-36398.97,-30634.033,-21972.291,-18937.42
1226960.4710291766,-103697.555,-120502.89,-27054.729,-27052.979,-36397.867,-30639.934,-21955.69,-18890.666
1226960.4750291738,-103680.55,-120489.22,-27055.258,-27047.771,-36394.29,-30639.975,-21927.734,-18851.848
1226960.479029171,-103694.22,-120500.57,-27054.281,-27052.695,-36391.684,-30635.215,-21928.793,-18875.285
1226960.483029168,-103722.91,-120523.16,-27055.055,-27060.791,-36395.754,-30632.977,-21952.88,-18910.076
1226960.4870291653,-103731.37,-120528.32,-27055.299,-27060.71,-36403.24,-30636.842,-21968.994,-18929.729
1226960.4910291624,-103706.914,-120505.3,-27054.973,-27054.078,-36406.656,-30642.863,-21955.852,-18894.654
1226960.4950291596,-103682.74,-120487.92,-27055.42,-27049.113,-36404.42,-30644.654,-21933.27,-18856.283
1226960.4990291568,-103686.2,-120496.51,-27054.729,-27049.887,-36396.324,-30641.48,-21940.756,-18879.762
1226960.503029154,-103714.97,-120523.73,-27054.037,-27058.35,-36399.58,-30637.371,-21966.92,-18921.875
1226960.507029151,-103726.65,-120532.39,-27053.184,-27061.729,-36408.246,-30638.307,-21975.668,-18918.377
1226960.5110291482,-103703.78,-120509.08,-27055.299,-27055.34,-36410.402,-30643.922,-21957.602,-18885.742
1226960.5150291454,-103680.14,-120488.65,-27053.143,-27048.748,-36404.258,-30643.352,-21934.082,-18863.404
1226960.5190291426,-103691.81,-120499.64,-27055.014,-27051.27,-36399.7,-30635.377,-21936.32,-18875.408
1226960.5230291395,-103717.33,-120524.54,-27059.57,-27059.002,-36401.57,-30630.371,-21958.457,-18909.344
1226960.5270291367,-103725.06,-120531.984,-27059.49,-27062.744,-36409.06,-30634.115,-21971.844,-18924.44
1226960.5310291338,-103701.055,-120511.48,-27055.908,-27053.996,-36407.96,-30639.527,-21958.578,-18892.213
1226960.535029131,-103681.6,-120493.94,-27054.852,-27047.893,-36405.19,-30640.91,-21940.146,-18862.549
1226960.5390291282,-103693.16,-120505.945,-27056.396,-27051.678,-36405.4,-30636.271,-21943.727,-18878.215
1226960.5430291253,-103723.68,-120532.27,-27059.164,-27061.2,-36408.652,-30632.936,-21963.46,-18908.041
1226960.5470291225,-103727.87,-120534.23,-27056.396,-27062.338,-36413.414,-30634.807,-21972.291,-18915.121
1226960.5510291196,-103700.93,-120511.03,-27056.479,-27054.607,-36411.05,-30640.545,-21959.514,-18886.354
